tempo,danceability,energy,instrumentalness,liveness,valence
115.503,0.628,0.573,0,0.0874,0.0387
191.186,0.468,0.325,0.726,0.109,0.0387
207.992,0.512,0.44,3.11E-06,0.233,0.132
173.993,0.504,0.48,0.000252,0.101,0.878
117.031,0.608,0.662,7.85E-06,0.0409,0.0637
141.037,0.783,0.684,0.000548,0.222,0.173
162.12,0.668,0.479,0.408,0.12,0.102
119.047,0.528,0.617,0.153,0.146,0.0356
120.01,0.796,0.756,0.00679,0.128,0.0292
136.462,0.299,0.381,0.0023,0.0932,0.0392
217.888,0.644,0.64,0,0.146,0.175
143.294,0.473,0.843,2.53E-05,0.102,0.24
110.337,0.471,0.618,0.00664,0.16,0.0392
115.282,0.665,0.446,1.88E-05,0.323,0.117
219.984,0.812,0.707,0,0.587,0.248
199.651,0.262,0.897,0,0.11,0.253
150.017,0.571,0.865,0.207,0.0906,0.177
211.954,0.753,0.679,4.21E-05,0.423,0.19
139.987,0.935,0.429,0,0.102,0.0769
211.95,0.726,0.634,4.43E-06,0.0916,0.318
220.002,0.854,0.98,0.00053,0.548,0.255
112.027,0.526,0.62,0.000241,0.139,0.187
131.999,0.84,0.444,0.000884,0.0623,0.376
192.378,0.818,0.576,0,0.105,0.285
119.994,0.881,0.903,0.00253,0.109,0.272
134.974,0.77,0.623,0,0.117,0.0947
114.972,0.8,0.505,2.05E-05,0.198,0.179
212.022,0.781,0.493,0.586,0.123,0.0383
119.989,0.817,0.911,0.00173,0.42,0.34
120.098,0.814,0.74,2.28E-05,0.12,0.191
150.018,0.678,0.77,0,0.184,0.284
140.055,0.755,0.788,0,0.311,0.465
122.016,0.81,0.524,0.714,0.105,0.155
211.95,0.806,0.702,0.138,0.323,0.182
130.012,0.89,0.74,1.17E-05,0.244,0.436
144.946,0.909,0.573,0.0163,0.657,0.392
129.988,0.735,0.933,0.0108,0.1,0.116
129.763,0.698,0.987,0.000558,0.343,0.266
144.702,0.577,0.692,0.0596,0.0989,0.0658
149.867,0.827,0.771,0,0.109,0.545
159.941,0.68,0.707,0.00638,0.097,0.228
142.018,0.721,0.899,2.51E-05,0.126,0.0385
139.961,0.777,0.812,0.264,0.185,0.452
215.218,0.579,0.813,3.50E-05,0.365,0.312
114.946,0.86,0.524,0.96,0.0993,0.142
130.837,0.425,0.508,0.181,0.244,0.0679
155.01,0.494,0.695,0.0158,0.223,0.0722
219.946,0.649,0.772,0.00305,0.103,0.0294
159.94,0.814,0.758,0.091,0.204,0.82
158.764,0.37,0.856,0.00967,0.18,0.0755
125.033,0.888,0.906,0.000474,0.266,0.477
144.981,0.816,0.62,1.09E-05,0.251,0.265
150.004,0.713,0.839,0.706,0.106,0.0369
219.692,0.449,0.645,0.00846,0.107,0.0589
139.804,0.923,0.94,9.67E-06,0.136,0.839
220.012,0.832,0.802,0.00361,0.139,0.178
157.231,0.569,0.712,3.41E-05,0.144,0.0711
168.298,0.476,0.825,6.51E-05,0.115,0.43
179.998,0.403,0.696,0.265,0.0722,0.0696
120.045,0.836,0.706,0,0.0927,0.0374
120.058,0.818,0.709,0,0.259,0.452
119.975,0.849,0.522,0,0.209,0.0582
180.048,0.703,0.536,0.0112,0.139,0.161
124.863,0.708,0.298,0.772,0.304,0.118
136.07,0.852,0.721,0.000645,0.11,0.803
120.011,0.694,0.514,0.000164,0.115,0.136
124.993,0.595,0.333,0.0268,0.0998,0.105
161.502,0.721,0.803,4.51E-05,0.109,0.175
125.975,0.846,0.616,0.00309,0.101,0.133
218.082,0.76,0.576,3.41E-06,0.194,0.184
120.01,0.529,0.817,3.98E-05,0.178,0.181
139.614,0.559,0.514,0.000109,0.0982,0.0911
129.004,0.965,0.59,0,0.0917,0.462
172.139,0.596,0.881,2.37E-06,0.0798,0.235
208.096,0.712,0.982,0,0.147,0.549
132.999,0.697,0.873,0,0.22,0.545
120.007,0.841,0.516,0,0.0781,0.26
200.092,0.739,0.463,0,0.423,0.0457
200.074,0.865,0.891,0,0.0842,0.671
200.064,0.775,0.634,1.78E-06,0.0628,0.521
139.867,0.739,0.498,0,0.0939,0.231
129.961,0.725,0.578,0.000117,0.387,0.0595
210.134,0.63,0.876,0,0.223,0.256
119.866,0.704,0.838,0,0.102,0.348
207.852,0.735,0.811,0.164,0.528,0.42
119.987,0.864,0.727,0,0.295,0.599
139.958,0.48,0.984,0,0.472,0.393
129.992,0.726,0.823,0,0.707,0.156
219.89,0.755,0.765,0,0.565,0.401
124.972,0.881,0.445,0.0647,0.114,0.0379
219.988,0.849,0.98,0.000787,0.551,0.295
184.04,0.602,0.762,0.00819,0.121,0.112
199.994,0.924,0.543,7.32E-05,0.11,0.104
216.152,0.919,0.493,1.62E-06,0.122,0.159
133.993,0.848,0.663,0,0.108,0.333
206.056,0.475,0.788,0,0.128,0.26
200.094,0.762,0.41,3.43E-05,0.157,0.0813
203.982,0.789,0.623,0,0.0835,0.678
140.036,0.756,0.794,0,0.314,0.474
150.008,0.799,0.546,3.19E-06,0.0836,0.736
119.956,0.931,0.273,0,0.137,0.0603
200.02,0.898,0.547,1.04E-05,0.37,0.763
133.052,0.835,0.559,5.50E-05,0.116,0.267
208.054,0.716,0.745,0,0.103,0.0971
139.972,0.723,0.459,0,0.11,0.313
147.904,0.849,0.736,0,0.0757,0.271
120.054,0.762,0.509,0,0.155,0.0671
123.049,0.756,0.74,0.171,0.646,0.308
131.984,0.727,0.846,0,0.143,0.529
212.026,0.783,0.497,0.6,0.124,0.0381
192.008,0.841,0.576,0,0.105,0.278
119.917,0.685,0.402,0.0206,0.402,0.107
179.968,0.556,0.449,0.0372,0.446,0.484
185.948,0.625,0.45,0.000217,0.117,0.0362
150.023,0.8,0.824,0.000221,0.0527,0.462
170.05,0.734,0.724,0,0.248,0.256
125,0.777,0.742,0,0.0957,0.605
138.034,0.733,0.66,0,0.151,0.259
119.999,0.803,0.789,0,0.378,0.647
160.075,0.649,0.538,0.401,0.0928,0.355
159.95,0.58,0.867,0.182,0.14,0.482
130.015,0.801,0.679,8.85E-06,0.188,0.483
200.238,0.677,0.655,0.276,0.162,0.146
116.914,0.623,0.716,2.54E-06,0.113,0.203
155.862,0.797,0.542,0,0.0838,0.313
120.037,0.85,0.542,0,0.0774,0.595
119.693,0.743,0.411,0,0.292,0.339
113.996,0.876,0.759,0.000675,0.475,0.271
143.026,0.665,0.827,0,0.351,0.12
139.968,0.81,0.585,0.0115,0.0959,0.281
120.16,0.618,0.743,0.0232,0.452,0.249
173.994,0.622,0.859,0,0.0797,0.296
160.028,0.674,0.646,0,0.104,0.222
190.012,0.628,0.53,0,0.0642,0.203
127.947,0.877,0.655,0,0.0948,0.119
119.904,0.585,0.895,0.00423,0.32,0.181
137.989,0.717,0.925,0,0.287,0.412
204.068,0.714,0.853,0,0.116,0.178
130.32,0.473,0.772,0,0.399,0.303
160.123,0.767,0.637,0,0.105,0.536
113.007,0.719,0.704,0,0.0753,0.0808
141.997,0.85,0.458,0,0.122,0.419
206.038,0.672,0.574,2.02E-06,0.18,0.106
189.872,0.758,0.716,9.52E-05,0.0653,0.565
148,0.76,0.774,0.000701,0.199,0.493
193.92,0.508,0.417,0.00207,0.128,0.337
152.11,0.869,0.572,0,0.103,0.658
120.011,0.985,0.525,0,0.116,0.425
149.005,0.738,0.712,0,0.0773,0.358
135.037,0.675,0.574,1.11E-05,0.108,0.482
112.002,0.876,0.726,4.02E-05,0.366,0.775
120.08,0.725,0.554,4.03E-06,0.489,0.231
129.998,0.89,0.422,0,0.0925,0.374
170.096,0.849,0.413,8.58E-05,0.106,0.458
210.438,0.695,0.686,0.0023,0.365,0.354
189.962,0.876,0.519,0,0.108,0.158
163.71,0.463,0.632,0,0.127,0.0894
146.023,0.709,0.362,0.000132,0.107,0.455
146.098,0.771,0.566,1.07E-05,0.109,0.232
192.94,0.136,0.821,0.0291,0.325,0.0362
180,0.476,0.495,0.915,0.506,0.114
115.044,0.499,0.893,1.03E-06,0.0907,0.108
135.017,0.851,0.634,0.882,0.0766,0.0399
120.229,0.241,0.928,0,0.612,0.403
119.922,0.622,0.635,7.88E-06,0.119,0.602
144.933,0.745,0.703,2.54E-06,0.095,0.402
119.989,0.855,0.659,0,0.0957,0.736
218.41,0.549,0.44,0.000779,0.0909,0.132
120.081,0.702,0.567,3.30E-05,0.359,0.195
132.022,0.53,0.732,7.35E-05,0.073,0.458
138.038,0.726,0.549,3.62E-05,0.345,0.0855
124.989,0.708,0.423,0.000113,0.136,0.0712
155.196,0.66,0.604,0.000128,0.196,0.435
117.009,0.447,0.652,0.00371,0.184,0.0367
137.961,0.278,0.47,0.00235,0.148,0.0775
154.996,0.321,0.949,0.217,0.579,0.196
149.883,0.542,0.923,0.505,0.397,0.321
151.23,0.688,0.658,1.89E-06,0.335,0.28
133.941,0.953,0.38,0,0.127,0.128
116.997,0.881,0.742,2.49E-06,0.156,0.432
112.511,0.897,0.662,0,0.534,0.389
146.027,0.705,0.619,0,0.176,0.465
116.056,0.782,0.449,4.11E-05,0.111,0.34
153.102,0.643,0.82,9.47E-06,0.101,0.266
137.98,0.73,0.581,1.30E-05,0.106,0.359
159.927,0.648,0.543,0,0.101,0.192
160.078,0.481,0.604,0,0.162,0.257
157.967,0.738,0.581,0,0.101,0.635
140.016,0.84,0.539,1.34E-06,0.124,0.07
130.022,0.936,0.704,0,0.104,0.566
132.968,0.908,0.499,0,0.078,0.114
120.021,0.925,0.628,0,0.358,0.81
140.063,0.906,0.444,6.44E-05,0.173,0.678
129.945,0.803,0.719,0,0.425,0.549
150.007,0.487,0.789,4.05E-06,0.189,0.0564
146.908,0.77,0.459,0,0.0792,0.418
125.98,0.745,0.617,0,0.389,0.185
127.108,0.887,0.627,0,0.109,0.326
147.734,0.574,0.812,0,0.15,0.488
159.914,0.681,0.608,6.40E-05,0.108,0.175
162.066,0.595,0.534,0.00157,0.107,0.134
150.01,0.72,0.424,0.0126,0.453,0.228
148.472,0.577,0.447,0.00022,0.0899,0.189
153.094,0.755,0.631,1.36E-05,0.111,0.525
162.03,0.737,0.562,0,0.0727,0.457
132.418,0.701,0.662,0,0.109,0.616
160.073,0.674,0.862,0,0.113,0.357
186.046,0.581,0.662,0,0.111,0.434
149.965,0.747,0.557,3.53E-05,0.103,0.552
134.941,0.595,0.645,1.74E-05,0.165,0.205
158.967,0.768,0.484,0,0.342,0.548
157.991,0.66,0.784,0,0.113,0.642
130.029,0.847,0.733,1.04E-05,0.151,0.202
134.021,0.744,0.674,0,0.128,0.316
139.948,0.89,0.633,0.000343,0.0993,0.425
125.022,0.861,0.448,0.000408,0.0902,0.0487
130.071,0.772,0.786,0,0.202,0.233
131.965,0.772,0.413,0,0.111,0.211
160.94,0.728,0.628,6.53E-05,0.0735,0.393
147.97,0.783,0.621,0.153,0.0909,0.411
115.007,0.759,0.73,3.06E-06,0.11,0.74
171.853,0.497,0.489,9.91E-05,0.122,0.231
154.054,0.793,0.395,1.40E-05,0.109,0.129
139.978,0.716,0.541,0,0.115,0.387
120.055,0.794,0.448,0,0.109,0.588
179.684,0.603,0.67,0,0.326,0.159
119.054,0.743,0.571,0,0.291,0.495
144.985,0.791,0.735,0,0.134,0.497
158.043,0.781,0.597,0,0.152,0.544
159.908,0.557,0.526,0,0.128,0.123
152.891,0.774,0.706,1.28E-06,0.104,0.382
126.012,0.799,0.636,0,0.106,0.439
139.976,0.712,0.778,0,0.127,0.469
159.843,0.656,0.572,0.0935,0.164,0.176
141.039,0.904,0.575,0,0.256,0.359
150.021,0.668,0.805,1.69E-06,0.139,0.31
127.05,0.964,0.487,6.57E-06,0.115,0.107
162.023,0.635,0.632,0,0.0615,0.233
132.954,0.813,0.483,0,0.0991,0.398
182.204,0.653,0.91,0,0.111,0.818
126.02,0.851,0.559,1.69E-05,0.108,0.292
143.805,0.806,0.426,0,0.133,0.0626
159.956,0.71,0.715,3.02E-06,0.289,0.449
119.923,0.717,0.436,0,0.11,0.391
153.006,0.81,0.55,5.69E-06,0.107,0.183
179.954,0.691,0.755,0.00072,0.261,0.331
127.115,0.578,0.721,0,0.329,0.662
183.016,0.63,0.399,0.174,0.234,0.0657
207.956,0.756,0.746,0,0.0999,0.0793
187.742,0.804,0.422,1.41E-06,0.137,0.157
134.022,0.89,0.607,0.000228,0.118,0.224
157.09,0.739,0.405,0.211,0.158,0.127
129.027,0.755,0.517,0,0.127,0.699
172.018,0.754,0.575,0.00131,0.276,0.491
155.053,0.756,0.452,2.99E-05,0.196,0.216
140.042,0.852,0.432,0,0.146,0.258
117.074,0.64,0.615,0,0.479,0.642
140.973,0.859,0.506,0,0.113,0.153
145.139,0.759,0.562,0,0.0979,0.706
142.047,0.925,0.575,0,0.105,0.165
167.656,0.543,0.663,0.000181,0.142,0.199
178.032,0.411,0.587,6.70E-06,0.0821,0.0763
155.188,0.635,0.793,0.747,0.113,0.281
162.02,0.741,0.479,0,0.231,0.0971
135.97,0.733,0.722,6.34E-06,0.111,0.29
173.369,0.593,0.632,0,0.64,0.0789
113.995,0.765,0.578,4.04E-06,0.12,0.642
139.987,0.751,0.321,0.00223,0.145,0.0396
178.043,0.823,0.703,1.35E-06,0.294,0.26
161.856,0.311,0.637,5.20E-06,0.11,0.197
162.92,0.735,0.613,0,0.103,0.666
143.043,0.867,0.517,0,0.31,0.271
118.018,0.873,0.443,0,0.11,0.259
142.057,0.756,0.382,3.80E-06,0.122,0.419
155.034,0.524,0.84,0,0.154,0.0397
132,0.828,0.767,0.0242,0.119,0.504
162.13,0.539,0.516,0,0.11,0.321
200.072,0.401,0.736,0.0571,0.198,0.301
140.054,0.848,0.461,6.92E-05,0.0937,0.29
140.068,0.55,0.469,0.000113,0.554,0.0374
140.012,0.9,0.5,0.00111,0.112,0.0666
145.035,0.666,0.625,0,0.058,0.11
210.106,0.787,0.575,7.09E-06,0.138,0.0399
155.065,0.729,0.815,0.00683,0.153,0.286
140.919,0.752,0.539,0,0.324,0.366
169.97,0.685,0.82,0.000313,0.651,0.29
160.09,0.393,0.86,0,0.331,0.603
141.934,0.727,0.351,0.89,0.101,0.165
156.442,0.629,0.51,0,0.132,0.345
136.047,0.578,0.705,0.000399,0.0822,0.333
130.019,0.7,0.825,0.798,0.107,0.115
159.736,0.523,0.558,0.00687,0.103,0.0757
140.07,0.671,0.676,0,0.0674,0.343
140.132,0.756,0.453,0,0.632,0.114
119.988,0.598,0.318,0,0.319,0.0819
115.039,0.973,0.446,1.75E-05,0.121,0.265
144.983,0.631,0.67,0.138,0.358,0.0611
120.336,0.692,0.401,0.000932,0.0722,0.33
219.95,0.572,0.613,0.000239,0.204,0.5
128.209,0.546,0.53,0,0.0955,0.227
190.036,0.517,0.685,0.0133,0.0713,0.231
120,0.792,0.754,0.000863,0.165,0.251
146.966,0.545,0.631,0.611,0.215,0.217
183.529,0.544,0.812,0,0.481,0.678
116.014,0.618,0.217,0.000163,0.538,0.0872
169.033,0.672,0.588,0.241,0.0992,0.204
138.974,0.698,0.792,1.06E-06,0.124,0.637
111.97,0.737,0.354,0.000102,0.111,0.0962
145.024,0.777,0.871,0,0.521,0.848
125.996,0.861,0.701,0,0.0675,0.518
125.948,0.428,0.754,0,0.136,0.394
155.019,0.664,0.666,0.235,0.0891,0.512
149.936,0.639,0.467,1.33E-05,0.102,0.191
124.996,0.657,0.427,0,0.0715,0.672
140.015,0.713,0.493,0.00134,0.129,0.178
159.921,0.652,0.563,0.00573,0.0801,0.106
164.066,0.648,0.586,0,0.174,0.18
145.005,0.531,0.522,0.00383,0.185,0.246
199.938,0.834,0.26,0.0376,0.114,0.175
133.055,0.665,0.465,0,0.0952,0.141
179.882,0.632,0.629,0,0.344,0.207
190.002,0.673,0.258,0.634,0.0919,0.112
153.97,0.634,0.527,1.79E-06,0.334,0.229
135.064,0.719,0.387,0,0.114,0.17
211.994,0.534,0.583,0,0.421,0.145
145,0.607,0.685,0,0.12,0.635
142.155,0.531,0.522,0,0.149,0.154
129.942,0.633,0.679,0,0.181,0.239
177.97,0.889,0.46,0.000705,0.0917,0.784
119.894,0.655,0.555,0.0988,0.498,0.068
160.034,0.834,0.57,0,0.11,0.614
159.971,0.723,0.201,0.000424,0.124,0.268
182.158,0.519,0.667,0,0.0606,0.0633
169.898,0.54,0.899,4.90E-05,0.127,0.0585
155.148,0.476,0.865,0,0.109,0.334
159.967,0.746,0.441,0.0331,0.099,0.145
205.386,0.545,0.47,0.00119,0.106,0.351
166.009,0.713,0.52,2.52E-06,0.108,0.234
158.039,0.511,0.649,0,0.12,0.0586
160.12,0.734,0.375,6.94E-06,0.0922,0.183
128.988,0.849,0.397,0,0.111,0.144
149.013,0.497,0.602,0.000274,0.119,0.197
157.997,0.79,0.291,0.00638,0.109,0.3
216.04,0.711,0.545,0,0.122,0.345
200.078,0.824,0.394,0,0.173,0.21
135.939,0.448,0.43,0.448,0.251,0.0767
158.06,0.874,0.441,0.00807,0.0869,0.401
168.083,0.687,0.594,0,0.236,0.435
145.046,0.666,0.7,0.12,0.105,0.294
164.016,0.703,0.757,0,0.106,0.696
118.015,0.829,0.457,1.23E-05,0.0772,0.257
130.075,0.719,0.461,2.03E-06,0.0869,0.496
160.054,0.776,0.466,0,0.116,0.726
150.95,0.675,0.59,0,0.146,0.29
159.987,0.727,0.404,0,0.0691,0.304
180.04,0.777,0.732,0,0.149,0.101
122.989,0.866,0.505,0.0247,0.0903,0.248
124.992,0.636,0.574,0.00142,0.108,0.0999
141.928,0.809,0.725,0,0.257,0.585
179.992,0.675,0.628,0,0.0868,0.511
112.058,0.859,0.581,0,0.0812,0.268
153.923,0.685,0.516,0,0.0834,0.189
160.037,0.622,0.563,0,0.0861,0.409
149.99,0.592,0.753,0,0.114,0.559
180.164,0.621,0.548,0.00952,0.103,0.23
159.994,0.724,0.68,5.41E-06,0.118,0.247
219.992,0.615,0.674,0.000372,0.296,0.0395
159.682,0.38,0.351,6.07E-06,0.104,0.0765
158.932,0.639,0.549,0,0.124,0.235
124.985,0.552,0.673,0.194,0.268,0.101
119.968,0.713,0.594,2.48E-05,0.395,0.358
119.973,0.628,0.772,0,0.115,0.0748
140.031,0.646,0.458,0,0.23,0.0511
123.069,0.748,0.633,1.16E-05,0.12,0.25
146.012,0.615,0.836,0.0112,0.198,0.438
170.055,0.694,0.711,3.96E-05,0.127,0.267
167.82,0.455,0.559,0.000134,0.115,0.207
179.912,0.725,0.582,1.91E-05,0.106,0.471
159.768,0.703,0.39,0,0.178,0.624
147.996,0.786,0.34,0,0.106,0.294
130.037,0.705,0.648,0.000595,0.373,0.398
142.966,0.767,0.897,2.51E-05,0.257,0.312
219.964,0.676,0.971,0.0384,0.2,0.151
200.066,0.621,0.972,3.33E-05,0.331,0.433
172.206,0.527,0.605,0,0.262,0.552
75.418,0.45,0.17,0.138,0.044,0.213
119.995,0.891,0.597,0.256,0.0949,0.126
143.028,0.906,0.33,0.000328,0.105,0.263
179.435,0.31,0.829,0.000149,0.174,0.084
130.017,0.664,0.372,0,0.11,0.188
183.888,0.629,0.778,0.0577,0.105,0.334
127.174,0.308,0.238,0.000312,0.11,0.152
159.939,0.628,0.535,0.0927,0.0817,0.68
120.046,0.584,0.485,1.43E-05,0.109,0.0339
142.271,0.57,0.827,4.15E-05,0.215,0.192
160.08,0.54,0.791,0,0.0859,0.121
123.964,0.875,0.332,1.30E-06,0.0884,0.38
140.014,0.829,0.823,0.00169,0.487,0.153
150,0.49,0.501,0.0101,0.199,0.113
130.04,0.778,0.114,0.0557,0.366,0.42
113.984,0.928,0.343,0.0101,0.114,0.208
216.14,0.84,0.589,0.0373,0.118,0.0309
159.978,0.671,0.548,3.86E-05,0.0985,0.687
135.006,0.886,0.316,0.0166,0.108,0.0389
154.388,0.692,0.716,0,0.0446,0.484
139.969,0.801,0.819,0,0.515,0.811
156.014,0.697,0.354,2.48E-06,0.0539,0.575
130.013,0.706,0.437,0,0.101,0.761
144.026,0.726,0.431,0,0.696,0.348
160.908,0.805,0.479,3.41E-06,0.346,0.363
156.534,0.652,0.483,0,0.0959,0.469
174.018,0.543,0.268,0.000702,0.286,0.118
137.079,0.696,0.583,0,0.0964,0.524
207.954,0.88,0.773,2.03E-05,0.213,0.694
169.926,0.812,0.71,0,0.132,0.805
146.836,0.371,0.883,0.000948,0.383,0.195
145.025,0.34,0.812,0,0.111,0.37
160.143,0.574,0.747,0,0.934,0.567
130.103,0.53,0.946,0,0.38,0.492
179.961,0.785,0.442,6.67E-05,0.165,0.449
150.001,0.61,0.504,1.68E-05,0.164,0.371
128.084,0.721,0.395,0,0.13,0.376
160.03,0.589,0.832,0,0.103,0.538
130.101,0.451,0.488,0,0.074,0.246
120.033,0.643,0.573,0,0.0746,0.0398
128.035,0.699,0.472,0.00738,0.275,0.354
133.937,0.839,0.237,4.35E-05,0.186,0.506
165.88,0.616,0.598,4.80E-06,0.115,0.345
129.986,0.683,0.483,0,0.139,0.308
120.049,0.416,0.847,0,0.106,0.117
169.924,0.592,0.605,1.59E-05,0.11,0.43
150.071,0.663,0.785,1.51E-05,0.12,0.653
130.966,0.796,0.756,0,0.114,0.0512
140.035,0.543,0.496,0.0598,0.101,0.16
199.976,0.719,0.492,1.84E-05,0.161,0.274
150.232,0.513,0.686,0,0.0959,0.23
149.127,0.571,0.58,0,0.108,0.0607
119.9,0.707,0.712,0,0.136,0.248
129.996,0.498,0.885,8.47E-06,0.245,0.358
114.063,0.602,0.536,0,0.124,0.475
121.999,0.649,0.654,3.13E-05,0.0975,0.175
199.983,0.567,0.732,1.35E-06,0.0999,0.056
173.58,0.37,0.43,7.05E-05,0.358,0.173
179.992,0.675,0.628,0,0.0868,0.511
145.018,0.622,0.81,1.38E-06,0.0952,0.348
184.034,0.649,0.858,0,0.0834,0.535
219.804,0.468,0.796,8.65E-05,0.137,0.193
169.931,0.657,0.567,1.77E-06,0.0761,0.626
145.822,0.598,0.559,0,0.137,0.254
136.021,0.516,0.676,0,0.388,0.443
160.05,0.592,0.537,0,0.0734,0.315
132.001,0.596,0.574,0.191,0.115,0.397
145.036,0.56,0.833,0,0.104,0.465
152.047,0.662,0.709,6.50E-05,0.097,0.496
146,0.619,0.744,0.00551,0.151,0.218
180.1,0.422,0.755,0,0.0711,0.446
139.936,0.599,0.781,0,0.294,0.469
116.932,0.682,0.629,0,0.0881,0.225
135.056,0.533,0.638,0.000932,0.0758,0.324
129.903,0.576,0.504,1.05E-05,0.112,0.169
122.047,0.739,0.775,0,0.121,0.225
115.007,0.64,0.558,0.865,0.103,0.207
177.018,0.313,0.381,0,0.107,0.103
119.914,0.45,0.332,0.0145,0.113,0.0636
159.972,0.75,0.473,0,0.27,0.49
140.078,0.844,0.533,3.46E-06,0.0953,0.23
114.012,0.787,0.406,0,0.0861,0.146
220.216,0.527,0.742,0,0.211,0.295
149.025,0.842,0.791,0,0.0732,0.662
135.379,0.362,0.489,0,0.101,0.0384
115.024,0.64,0.607,0.819,0.108,0.0415
150.05,0.618,0.658,1.03E-06,0.101,0.214
145.103,0.648,0.712,0,0.106,0.408
155.736,0.389,0.559,0.000389,0.0929,0.0686
124.999,0.679,0.349,0.0876,0.111,0.147
220.022,0.839,0.749,0.0137,0.224,0.292
158.374,0.266,0.508,0,0.485,0.151
156.808,0.219,0.573,0,0.0341,0.0653
164.823,0.305,0.757,0.299,0.576,0.474
145.981,0.655,0.87,0.00185,0.337,0.463
127.632,0.531,0.702,0.125,0.218,0.0906
136.511,0.434,0.945,0.000351,0.397,0.156
160.065,0.646,0.656,0,0.103,0.501
180.172,0.597,0.364,0,0.0713,0.262
133.031,0.719,0.878,2.28E-05,0.394,0.544
119.989,0.663,0.618,0.000711,0.259,0.15
160.018,0.668,0.323,2.27E-05,0.13,0.217
139.926,0.541,0.675,0,0.0741,0.119
172.03,0.779,0.578,1.31E-05,0.124,0.429
150.589,0.346,0.769,0,0.0815,0.163
153.918,0.831,0.569,2.31E-06,0.0969,0.518
130.728,0.782,0.546,0.0423,0.348,0.505
160.427,0.879,0.334,0.074,0.111,0.173
195.6,0.379,0.468,4.00E-05,0.109,0.0331
156.994,0.462,0.781,0,0.101,0.269
159.988,0.661,0.351,0.000103,0.0868,0.143
155.354,0.601,0.878,0.0381,0.143,0.463
119.986,0.773,0.286,0.00195,0.172,0.67
204.042,0.588,0.952,8.29E-06,0.306,0.469
173.35,0.695,0.592,0,0.435,0.339
160.017,0.851,0.583,0.547,0.105,0.591
114.988,0.842,0.39,0,0.103,0.0936
139.984,0.808,0.59,0,0.0955,0.302
120.02,0.662,0.505,0.0166,0.607,0.774
161.852,0.748,0.85,0,0.362,0.508
183.986,0.921,0.567,0,0.306,0.641
160.14,0.605,0.865,0,0.0504,0.347
179.874,0.546,0.775,0.0073,0.0889,0.0392
199.902,0.216,0.476,0.174,0.0719,0.0596
160.001,0.601,0.769,0,0.105,0.288
170.013,0.815,0.822,0,0.188,0.796
119.963,0.692,0.795,0,0.102,0.158
120.004,0.845,0.487,3.28E-06,0.144,0.0745
141.129,0.517,0.932,0.0487,0.405,0.166
160.029,0.796,0.674,1.12E-05,0.0776,0.359
159.873,0.819,0.462,1.62E-05,0.318,0.5
187.838,0.782,0.692,0.0863,0.0856,0.14
140.802,0.574,0.535,0,0.113,0.214
120.095,0.623,0.785,0.000318,0.26,0.47
119.946,0.65,0.492,0,0.0492,0.352
153.414,0.406,0.839,0,0.121,0.073
130.077,0.85,0.389,0.00268,0.0992,0.187
139.972,0.682,0.844,0,0.0833,0.424
212.02,0.661,0.679,0.000184,0.443,0.444
147.898,0.405,0.522,1.38E-05,0.255,0.354
