rent,bedrooms,bathrooms,size_sqft,min_to_subway,floor,building_age_yrs,no_fee,has_roofdeck,has_washer_dryer,has_doorman,has_elevator,has_dishwasher,has_patio,has_gym,neighborhood,borough
4200,1.0,1,640,3,15.0,52,1,0,0,0,0,0,0,0,Tribeca,Manhattan
9000,2.0,2,1749,4,15.0,10,0,0,0,1,0,0,0,0,Midtown East,Manhattan
4950,1.0,1,870,2,9.0,11,0,1,1,0,0,1,0,0,Midtown,Manhattan
3000,0.5,1,573,11,8.0,31,0,0,0,0,1,0,0,0,Upper East Side,Manhattan
2450,1.0,1,700,3,2.0,106,0,0,0,0,0,0,0,0,Central Harlem,Manhattan
2750,1.0,1,700,12,3.0,9,1,0,0,0,0,0,0,0,Clinton Hill,Brooklyn
1950,0.0,1,400,6,3.0,56,0,1,1,0,0,1,0,0,Gramercy Park,Manhattan
2550,2.0,1,1081,2,3.0,65,1,0,0,0,0,0,0,0,Rego Park,Queens
3375,1.0,1,652,3,12.0,15,1,0,0,0,0,0,0,0,Upper West Side,Manhattan
2395,2.5,1,1000,3,1.0,106,0,0,0,0,0,0,0,0,East Harlem,Manhattan
2700,2.0,1,750,7,14.0,96,0,0,0,0,0,0,0,0,Williamsburg,Brooklyn
4905,2.0,2,1114,6,5.0,2,1,0,0,0,0,0,0,0,Williamsburg,Brooklyn
2000,1.0,1,700,4,2.0,85,0,0,0,0,0,0,0,0,Williamsburg,Brooklyn
4990,1.0,1,823,5,22.0,44,1,0,0,0,0,0,0,0,Midtown East,Manhattan
7495,2.0,2,1431,3,4.0,10,0,1,1,1,1,1,0,1,Upper West Side,Manhattan
10000,1.0,2,1600,2,3.0,5,1,0,0,0,1,0,0,0,Tribeca,Manhattan
3090,2.0,1,800,10,3.0,106,0,0,0,0,0,0,0,0,East Village,Manhattan
3200,1.0,1,800,5,3.0,27,0,0,0,0,0,0,0,0,Boerum Hill,Brooklyn
10904,3.0,3,1307,6,26.0,6,1,0,0,0,0,0,0,0,Upper West Side,Manhattan
2100,0.0,1,410,8,3.0,106,0,0,0,0,0,0,0,0,Midtown West,Manhattan
2499,0.0,1,400,2,3.0,116,1,1,1,1,1,0,0,1,Upper West Side,Manhattan
3650,2.0,1,763,10,30.0,27,0,0,0,1,1,0,0,1,Midtown East,Manhattan
3800,2.0,1,900,4,6.0,116,0,0,0,0,0,0,0,0,Lower East Side,Manhattan
9800,2.0,2,1270,7,7.0,6,0,1,1,1,1,0,0,0,Gramercy Park,Manhattan
2950,2.0,1,1000,4,3.0,85,0,0,0,0,0,0,0,0,Park Slope,Brooklyn
4350,1.0,1,783,2,6.0,29,0,1,0,1,1,0,0,0,West Village,Manhattan
2495,2.0,1,800,4,4.0,96,0,0,0,0,0,0,0,0,Upper East Side,Manhattan
3625,1.0,1,650,43,19.0,14,1,0,0,0,0,0,0,0,Upper East Side,Manhattan
1950,2.0,1,950,5,2.0,75,0,0,0,0,0,0,0,0,Sheepshead Bay,Brooklyn
9000,2.0,2,1250,13,46.0,9,1,0,0,0,0,0,0,0,Midtown West,Manhattan
5800,2.0,2,1200,2,6.0,75,0,0,0,0,1,1,0,0,Central Park South,Manhattan
3100,1.0,1,787,6,3.0,9,1,1,0,1,1,0,1,0,Long Island City,Queens
3295,1.0,1,465,5,2.0,29,0,1,0,1,1,0,0,0,West Village,Manhattan
1399,0.0,1,580,8,1.0,13,0,0,0,0,0,0,0,0,Briarwood,Queens
1799,1.0,1,650,7,3.0,8,0,0,0,0,0,0,0,0,Greenwood,Brooklyn
2200,0.0,1,325,6,24.0,87,0,1,0,1,1,1,0,0,Midtown East,Manhattan
5485,2.0,1,1028,7,24.0,39,1,0,1,0,0,1,0,0,Midtown East,Manhattan
2950,0.0,1,765,2,4.0,29,0,1,0,1,1,0,0,1,Upper West Side,Manhattan
2750,1.0,1,600,9,12.0,57,0,0,0,0,0,0,0,0,Midtown East,Manhattan
8200,2.0,2,1431,9,8.0,7,0,0,0,0,0,0,1,0,Chelsea,Manhattan
2000,2.0,1,750,3,1.0,106,0,0,0,1,0,0,1,0,Central Harlem,Manhattan
4995,3.0,1,1100,2,2.0,13,0,0,0,1,1,0,0,1,Financial District,Manhattan
1875,2.0,1,900,3,4.0,91,0,0,0,0,0,0,0,0,Inwood,Manhattan
3900,1.0,1,750,6,6.0,106,1,0,0,0,0,0,0,0,Gramercy Park,Manhattan
2400,0.0,1,500,9,1.0,106,1,0,0,0,0,0,0,0,Upper East Side,Manhattan
5325,1.0,1,697,2,36.0,13,1,0,0,0,0,0,0,0,Flatiron,Manhattan
5317,2.0,2,981,3,5.0,85,1,0,0,0,0,0,0,0,Carroll Gardens,Brooklyn
3500,0.0,1,525,5,6.0,105,1,1,1,1,1,0,1,1,Midtown South,Manhattan
3900,1.0,1,643,4,10.0,2,0,0,0,0,0,0,0,0,Midtown East,Manhattan
3375,2.0,1,800,6,2.0,106,0,0,1,0,0,1,0,0,Upper West Side,Manhattan
6400,2.0,2,1094,3,8.0,9,0,0,0,0,0,0,0,0,Upper East Side,Manhattan
2300,2.0,1,750,14,1.0,85,0,0,0,0,0,0,0,0,Red Hook,Brooklyn
2275,0.0,1,481,3,27.0,16,1,0,0,0,0,0,0,0,Long Island City,Queens
12500,2.0,2,2082,2,2.0,101,0,0,0,0,0,1,0,0,Tribeca,Manhattan
2400,0.0,1,450,1,30.0,9,0,0,0,0,0,0,0,0,Fort Greene,Brooklyn
2595,0.0,1,285,5,10.0,86,0,0,0,0,0,0,0,0,Midtown West,Manhattan
2199,2.0,1,900,11,3.0,106,1,0,0,0,0,0,0,0,East Harlem,Manhattan
2430,0.0,1,330,2,7.0,89,1,0,0,0,0,0,0,0,Upper West Side,Manhattan
10000,2.0,2,1318,3,15.0,30,0,0,0,0,0,0,0,0,Upper West Side,Manhattan
6400,3.0,2,1100,4,3.0,13,0,0,0,0,1,1,0,0,Lower East Side,Manhattan
5895,2.0,2,1250,1,25.0,112,1,0,0,1,0,0,0,0,Financial District,Manhattan
2600,0.0,1,490,3,10.0,15,1,0,0,0,0,0,0,0,Upper West Side,Manhattan
4700,1.0,1,500,2,3.0,116,0,0,0,0,0,0,0,0,Soho,Manhattan
6000,2.0,2,1428,3,15.0,88,0,1,0,1,1,1,1,1,Upper West Side,Manhattan
4995,2.0,1,866,2,5.0,25,0,0,0,1,0,1,0,0,Upper East Side,Manhattan
3045,1.0,1,589,1,3.0,17,1,0,0,0,0,0,0,0,Brooklyn Heights,Brooklyn
3388,0.0,1,825,4,4.0,47,1,0,0,0,0,0,0,0,Financial District,Manhattan
3483,1.0,1,735,9,4.0,87,0,0,0,0,0,0,0,0,Midtown East,Manhattan
2900,2.0,1,1250,2,2.0,96,0,0,0,0,0,0,0,0,Washington Heights,Manhattan
4600,1.0,1,890,2,8.0,10,0,0,1,1,1,1,0,0,Midtown East,Manhattan
1695,1.0,1,750,1,4.0,87,1,1,0,0,0,0,0,0,Central Harlem,Manhattan
2700,0.0,1,542,6,22.0,28,0,0,0,1,1,1,0,0,Midtown East,Manhattan
11750,4.0,3,3100,2,11.0,111,1,0,0,0,0,0,0,0,Midtown,Manhattan
3790,1.0,1,681,2,7.0,90,1,1,1,1,1,0,0,1,Downtown Brooklyn,Brooklyn
3400,3.0,2,1200,2,2.0,86,0,0,0,0,0,0,0,0,Astoria,Queens
5080,1.0,1,850,2,26.0,42,1,0,1,0,0,1,1,0,Upper West Side,Manhattan
4890,1.0,1,815,43,7.0,8,1,0,0,0,1,0,0,0,Upper West Side,Manhattan
3800,1.0,1,750,13,21.0,9,1,0,0,1,1,0,0,1,Midtown West,Manhattan
5200,3.0,2,2000,5,4.0,106,0,0,0,0,0,1,0,0,Central Harlem,Manhattan
2695,1.0,1,875,8,15.0,56,1,0,0,0,0,0,0,0,Forest Hills,Queens
2800,0.0,1,450,4,5.0,43,1,0,0,0,0,0,0,0,Financial District,Manhattan
4275,2.0,2,913,6,16.0,0,1,0,0,0,0,0,0,0,Long Island City,Queens
6000,2.0,2,1200,9,4.0,105,0,0,1,0,0,0,0,0,Midtown West,Manhattan
2100,0.0,1,400,5,2.0,101,0,0,0,0,0,0,0,0,Upper West Side,Manhattan
2500,0.0,1,525,7,4.0,66,1,0,0,0,0,0,0,0,Crown Heights,Brooklyn
2300,1.0,1,500,6,3.0,96,0,0,0,0,0,0,0,0,Chinatown,Manhattan
16750,3.0,3,2850,1,27.0,102,0,0,0,0,0,0,0,0,Financial District,Manhattan
6400,2.0,1,1151,3,7.0,87,1,0,0,0,0,0,0,0,Upper East Side,Manhattan
5595,2.0,2,1170,4,28.0,85,1,1,1,1,1,1,0,1,Financial District,Manhattan
2800,0.0,1,466,5,4.0,10,0,0,0,0,1,0,0,0,Upper West Side,Manhattan
3219,0.0,1,533,4,17.0,47,1,0,0,0,0,0,0,0,Financial District,Manhattan
8500,2.0,2,1244,1,6.0,9,0,0,1,1,1,0,0,0,Soho,Manhattan
2000,2.0,1,1000,7,3.0,76,0,0,0,0,0,0,0,0,Forest Hills,Queens
2200,1.0,1,886,8,4.0,58,1,0,0,0,0,0,0,0,Sunnyside,Queens
2400,2.0,1,825,11,2.0,88,0,0,0,0,0,0,0,0,Astoria,Queens
10000,2.0,2,1508,1,7.0,89,1,0,0,0,0,0,0,0,Upper East Side,Manhattan
2600,3.0,1,1200,5,3.0,91,1,0,0,0,0,0,0,0,Crown Heights,Brooklyn
3775,1.0,1,600,0,2.0,56,1,0,0,0,0,0,0,0,Upper East Side,Manhattan
3226,1.0,1,976,3,5.0,0,1,0,0,0,0,0,0,0,Prospect Park South,Brooklyn
4350,1.0,1,880,7,14.0,16,0,0,0,1,0,0,0,0,Upper West Side,Manhattan
4995,2.0,2,1251,5,4.0,8,0,1,1,0,0,1,0,0,Williamsburg,Brooklyn
6950,3.0,2,1172,3,4.0,85,1,0,0,0,0,0,0,0,Carroll Gardens,Brooklyn
3995,1.0,1,899,1,14.0,112,1,0,0,0,0,0,0,0,Financial District,Manhattan
4995,2.0,2,1153,43,16.0,9,0,0,0,0,0,0,0,0,Roosevelt Island,Manhattan
7195,5.0,2,2430,5,5.0,96,1,0,0,0,0,0,0,0,Upper West Side,Manhattan
7600,2.0,2,1500,5,9.0,2,0,0,0,0,0,0,0,0,Tribeca,Manhattan
2995,1.0,1,350,1,5.0,116,0,0,0,0,0,0,0,0,West Village,Manhattan
4490,1.0,1,620,4,29.0,16,1,0,0,0,0,0,0,0,Chelsea,Manhattan
3450,3.0,2,1800,2,5.0,101,1,0,0,0,0,0,0,0,Washington Heights,Manhattan
3800,1.0,1,700,13,19.0,9,1,1,0,1,1,0,0,1,Midtown West,Manhattan
14662,4.0,3,1732,4,10.0,113,1,0,0,0,0,0,0,0,Upper West Side,Manhattan
3500,3.0,1,950,5,2.0,115,1,0,0,0,0,0,0,0,Williamsburg,Brooklyn
2575,0.0,1,490,3,8.0,15,1,0,0,0,0,0,0,0,Upper West Side,Manhattan
3080,1.0,1,655,7,5.0,2,0,0,0,0,0,0,0,0,Williamsburg,Brooklyn
6992,2.0,2,1213,2,7.0,0,1,0,0,0,0,0,0,0,Williamsburg,Brooklyn
3750,1.0,1,700,3,5.0,90,0,0,0,0,0,0,0,0,Greenwich Village,Manhattan
6695,2.0,2,1033,2,17.0,30,0,0,0,1,0,0,0,0,Flatiron,Manhattan
5500,1.0,1,1165,5,22.0,37,1,0,0,0,0,0,0,0,Upper East Side,Manhattan
5475,1.0,1,1094,2,38.0,30,0,1,1,1,1,1,0,1,Midtown,Manhattan
1850,1.0,1,1000,2,1.0,11,0,0,0,0,0,0,0,0,Astoria,Queens
6000,4.0,2,1800,3,2.0,56,0,0,0,0,0,0,0,0,Williamsburg,Brooklyn
4910,2.0,2,933,10,10.0,16,1,0,0,0,0,0,0,0,Midtown West,Manhattan
5150,1.0,1,695,3,18.0,52,1,0,0,0,0,0,0,0,Tribeca,Manhattan
4950,1.0,1,1115,5,2.0,37,1,0,0,0,0,0,0,0,Upper East Side,Manhattan
2700,2.0,2,750,11,2.0,96,0,0,0,0,0,0,0,0,Columbia St Waterfront District,Brooklyn
1600,0.0,1,600,3,5.0,65,0,0,0,0,0,0,0,0,Jackson Heights,Queens
5225,1.0,1,770,3,11.0,52,1,0,0,0,0,0,0,0,Tribeca,Manhattan
4246,2.0,2,1100,4,6.0,2,1,0,0,0,0,0,0,0,Williamsburg,Brooklyn
13750,3.0,3,1920,43,8.0,8,1,0,0,0,0,0,0,0,Upper West Side,Manhattan
2299,3.0,1,1000,8,1.0,106,1,0,0,0,0,0,0,0,Crown Heights,Brooklyn
2400,1.5,1,750,5,2.0,88,0,0,0,0,0,0,0,0,Greenpoint,Brooklyn
4500,1.0,1,755,7,43.0,6,0,0,0,0,0,0,0,0,Midtown South,Manhattan
2485,1.0,1,703,10,5.0,3,1,0,0,0,0,0,0,0,Clinton Hill,Brooklyn
2200,1.0,1,675,4,4.0,88,0,0,0,0,0,0,0,0,Washington Heights,Manhattan
4000,1.0,1,840,10,40.0,30,1,0,0,0,0,0,0,0,Upper East Side,Manhattan
4000,1.0,2,900,3,1.0,106,1,1,1,1,1,1,0,1,Williamsburg,Brooklyn
4300,0.0,1,559,3,24.0,11,1,0,0,0,0,0,0,0,Flatiron,Manhattan
2750,1.0,1,730,5,3.0,9,0,0,0,0,0,0,0,0,East Harlem,Manhattan
2995,4.0,1,2000,5,1.0,4,1,0,0,0,0,0,0,0,Crown Heights,Brooklyn
5120,2.0,2,1003,10,7.0,16,1,0,0,0,0,0,0,0,Midtown West,Manhattan
5895,2.0,2,1200,2,18.0,13,1,0,0,0,0,0,0,0,Financial District,Manhattan
11723,3.0,2,1540,1,8.0,89,1,0,0,0,0,0,0,0,Upper West Side,Manhattan
4270,1.0,1,630,2,12.0,13,0,0,0,0,0,0,0,0,Lower East Side,Manhattan
2995,0.0,1,548,2,11.0,13,0,0,1,0,0,1,0,0,Financial District,Manhattan
2150,1.0,1,687,4,2.0,96,0,0,0,0,0,0,0,0,Hamilton Heights,Manhattan
3500,1.0,1,651,6,34.0,37,1,0,0,1,0,0,0,0,Midtown East,Manhattan
2150,1.0,1,650,7,2.0,115,0,1,0,1,1,0,1,1,Midtown West,Manhattan
1500,1.0,1,800,6,3.0,52,0,0,0,0,0,0,0,0,Kensington,Brooklyn
4370,2.0,2,933,1,25.0,5,1,0,0,0,0,0,0,0,Downtown Brooklyn,Brooklyn
2350,0.0,1,400,5,16.0,30,0,0,1,1,1,0,0,1,Midtown East,Manhattan
4499,2.0,1,837,6,14.0,37,0,0,0,1,1,1,0,1,Midtown East,Manhattan
3815,1.0,1,665,8,23.0,16,1,0,0,0,0,0,0,0,Midtown East,Manhattan
2400,2.0,1,800,8,2.0,111,1,0,0,0,0,0,0,0,Crown Heights,Brooklyn
3200,1.0,1,701,10,13.0,6,1,0,0,0,0,0,0,0,Clinton Hill,Brooklyn
3200,2.0,1,850,7,3.0,60,0,1,0,1,1,1,1,1,Midtown East,Manhattan
3500,4.0,2,1500,7,1.0,86,1,0,0,0,0,0,0,0,Bushwick,Brooklyn
1625,1.0,1,560,6,2.0,96,1,0,0,0,0,0,0,0,Washington Heights,Manhattan
3500,1.0,1,722,12,32.0,32,0,0,0,0,0,0,0,0,Midtown East,Manhattan
3495,1.0,1,686,10,34.0,29,1,0,0,0,0,0,0,0,Midtown West,Manhattan
2025,2.0,1,891,6,2.0,54,1,0,0,0,0,0,0,0,Kew Gardens,Queens
1600,1.5,1,800,3,3.0,109,0,0,0,0,0,0,0,0,Bushwick,Brooklyn
2025,0.0,1,350,3,4.0,90,0,0,0,0,0,0,0,0,Upper West Side,Manhattan
2700,3.0,1,750,2,1.0,112,1,0,0,0,0,0,0,0,Washington Heights,Manhattan
3550,1.0,1,748,6,9.0,10,0,1,0,0,0,1,1,0,Upper West Side,Manhattan
6000,1.0,1,1500,2,2.0,151,0,0,0,0,0,0,0,0,Tribeca,Manhattan
4750,2.0,2,917,3,4.0,15,1,0,0,0,0,0,0,0,Upper West Side,Manhattan
2800,0.0,1,520,2,24.0,9,0,0,0,1,1,0,0,0,Midtown West,Manhattan
5000,1.0,1,707,2,5.0,8,0,1,0,1,1,1,0,0,Chelsea,Manhattan
3500,2.0,2,1050,5,4.0,96,0,0,1,0,0,1,0,0,Central Harlem,Manhattan
1900,1.0,1,900,3,7.0,61,1,0,0,0,0,0,0,0,Elmhurst,Queens
1650,1.0,1,686,6,4.0,57,1,0,0,0,0,0,0,0,Brighton Beach,Brooklyn
6800,2.0,2,1295,11,34.0,15,1,0,0,0,0,0,0,0,Upper East Side,Manhattan
2775,0.0,1,500,3,22.0,30,1,0,0,0,0,0,0,0,Midtown,Manhattan
7900,2.0,2,1160,2,9.0,75,1,0,0,0,0,0,0,0,Central Park South,Manhattan
3995,1.0,1,800,3,5.0,27,0,0,0,0,1,0,0,0,Upper West Side,Manhattan
2200,1.0,1,665,27,4.0,12,1,0,0,0,0,0,0,0,Kew Gardens Hills,Queens
9950,1.0,2,2050,3,4.0,52,1,0,0,0,0,0,0,0,Tribeca,Manhattan
2600,3.0,1,800,3,1.0,96,0,0,0,0,0,0,0,0,Williamsburg,Brooklyn
3400,1.0,1,800,7,3.0,16,0,0,0,0,0,0,0,0,Upper West Side,Manhattan
3300,1.0,1,725,4,5.0,91,0,1,1,1,1,1,0,0,Upper West Side,Manhattan
11000,2.0,2,3000,0,2.0,116,0,0,0,1,1,1,0,0,Soho,Manhattan
2400,1.0,1,875,2,2.0,85,0,0,0,0,0,0,0,0,Gowanus,Brooklyn
3250,2.0,1,850,5,3.0,116,0,0,0,0,0,0,0,0,Upper West Side,Manhattan
5700,2.0,2,1176,12,2.0,7,0,1,0,0,0,0,0,0,Chelsea,Manhattan
7246,2.0,2,1080,1,10.0,89,1,0,0,0,0,0,0,0,Upper West Side,Manhattan
5688,2.0,2,1260,7,7.0,39,1,0,0,0,0,0,0,0,Upper East Side,Manhattan
2000,1.0,1,482,8,4.0,86,0,0,0,0,0,0,0,0,Corona,Queens
1800,1.5,1,1000,2,2.0,85,0,0,0,0,0,0,0,0,Bushwick,Brooklyn
3295,2.0,2,1368,3,3.0,7,0,0,0,0,0,0,0,0,Astoria,Queens
2350,1.0,1,600,5,6.0,12,0,0,0,0,0,0,0,0,Astoria,Queens
6350,1.0,2,1352,1,2.0,126,1,0,0,0,0,0,0,0,Tribeca,Manhattan
2800,0.0,1,351,1,2.0,29,0,0,0,0,0,0,0,0,Midtown West,Manhattan
5740,1.0,1,761,5,15.0,6,1,0,0,0,0,0,0,0,Upper West Side,Manhattan
3500,2.0,2,1031,3,6.0,13,0,0,0,0,0,0,0,0,Central Harlem,Manhattan
3450,1.0,1,888,2,6.0,8,0,0,1,1,1,1,0,1,Long Island City,Queens
12500,3.0,3,2500,5,6.0,96,0,0,0,0,0,0,0,0,Midtown West,Manhattan
2695,0.0,1,625,9,7.0,8,1,1,1,0,0,1,0,0,Midtown West,Manhattan
2895,0.0,1,506,2,18.0,41,0,0,0,1,1,0,0,0,Upper East Side,Manhattan
16500,2.0,2,1895,9,4.0,1,0,0,0,0,0,0,0,0,Chelsea,Manhattan
5000,1.0,1,764,2,20.0,38,1,0,1,1,0,1,0,0,Midtown West,Manhattan
6600,2.0,2,1100,2,12.0,92,1,0,0,0,0,0,0,0,Upper West Side,Manhattan
3490,2.0,2,800,6,4.0,106,0,0,0,1,0,0,0,0,Gramercy Park,Manhattan
4800,2.0,2,1000,3,8.0,96,0,0,0,1,1,0,0,0,Midtown South,Manhattan
4050,1.0,1,805,11,20.0,15,1,0,0,0,0,0,0,0,Upper East Side,Manhattan
5850,1.0,1,752,3,33.0,6,1,0,0,0,0,0,0,0,Chelsea,Manhattan
2300,1.0,1,650,3,3.0,76,0,0,0,0,0,0,0,0,Upper West Side,Manhattan
2295,1.5,1,600,4,2.0,86,0,0,0,0,0,0,0,0,Greenpoint,Brooklyn
4700,3.0,2,1300,4,3.0,85,1,1,0,1,1,0,0,1,Williamsburg,Brooklyn
3275,0.0,1,480,4,9.0,86,0,0,0,0,0,0,0,0,Chelsea,Manhattan
4095,1.0,1,713,4,9.0,19,1,0,0,0,0,1,0,0,Upper East Side,Manhattan
1875,0.0,1,460,7,1.0,116,0,0,0,0,0,0,0,0,Carroll Gardens,Brooklyn
2900,2.0,1,756,3,2.0,9,0,0,0,0,0,0,0,0,Crown Heights,Brooklyn
3600,3.0,1,1000,2,4.0,86,1,0,0,0,0,0,0,0,Prospect Heights,Brooklyn
2995,2.0,1,800,3,2.0,106,0,0,0,0,0,0,0,0,Midtown West,Manhattan
5900,2.0,2,1076,5,11.0,30,0,0,0,0,0,0,0,0,Upper East Side,Manhattan
3920,1.0,1,718,4,4.0,16,1,1,1,1,1,1,0,1,Chelsea,Manhattan
4795,1.0,1,707,7,10.0,16,0,1,0,1,1,0,0,1,Upper West Side,Manhattan
3800,1.0,1,600,2,14.0,9,1,0,0,0,0,0,0,0,Financial District,Manhattan
12500,3.0,3,1833,5,14.0,2,0,0,0,0,0,0,0,0,Midtown East,Manhattan
5000,1.0,1,805,4,4.0,9,0,1,1,1,1,1,0,1,Flatiron,Manhattan
4365,0.0,1,619,3,37.0,6,1,0,0,0,0,0,0,0,Chelsea,Manhattan
3950,1.0,1,899,1,3.0,112,1,0,0,0,0,0,0,0,Financial District,Manhattan
2450,1.0,1,800,5,3.0,85,1,0,0,0,0,0,0,0,Bushwick,Brooklyn
4000,1.0,1,740,2,17.0,14,1,0,0,0,0,0,0,0,Midtown South,Manhattan
3905,1.0,1,809,7,26.0,39,1,0,0,0,0,0,0,0,Upper East Side,Manhattan
4000,1.0,1,700,3,4.0,62,0,0,1,1,1,0,0,0,West Village,Manhattan
2750,0.0,1,475,1,5.0,25,0,0,0,0,1,0,0,1,Upper West Side,Manhattan
3200,2.0,1,1000,3,3.0,96,0,0,0,0,0,0,0,0,Park Slope,Brooklyn
3631,1.0,1,707,3,1.0,71,1,0,0,0,0,0,0,0,Stuyvesant Town/PCV,Manhattan
2095,0.0,1,410,8,2.0,106,0,0,0,1,1,0,0,0,Midtown West,Manhattan
7995,2.0,2,852,3,6.0,106,0,0,0,0,0,0,0,0,Soho,Manhattan
2995,0.0,1,579,4,2.0,55,0,1,0,1,1,0,1,1,Upper West Side,Manhattan
18450,2.0,2,830,2,7.0,29,1,1,1,1,1,1,0,1,Upper East Side,Manhattan
1450,1.0,1,700,8,3.0,92,0,0,0,0,0,0,0,0,Richmond Hill,Queens
3300,1.0,1,974,3,7.0,2,0,0,0,0,0,0,0,0,Williamsburg,Brooklyn
4250,1.0,1,800,13,46.0,9,1,0,0,0,0,0,0,0,Midtown West,Manhattan
8900,3.0,2,2000,8,3.0,102,0,0,0,0,0,0,0,0,Williamsburg,Brooklyn
4995,1.0,1,972,7,10.0,6,0,0,1,0,0,0,0,0,Gramercy Park,Manhattan
4200,0.0,1,530,1,17.0,90,0,0,0,0,1,0,0,0,Chelsea,Manhattan
4300,1.0,1,700,5,9.0,37,0,0,0,1,1,1,0,0,Upper West Side,Manhattan
2195,0.0,1,550,3,4.0,85,1,0,0,0,0,0,0,0,Boerum Hill,Brooklyn
1975,1.0,1,700,43,20.0,42,0,0,0,0,0,0,0,0,Kew Gardens,Queens
14000,2.0,2,2000,4,55.0,33,0,0,0,1,1,0,0,0,Midtown,Manhattan
2900,1.0,1,662,1,4.0,9,0,0,0,0,0,0,0,0,Downtown Brooklyn,Brooklyn
8250,2.0,2,1406,4,3.0,11,0,0,0,1,1,1,0,1,Soho,Manhattan
3950,1.0,1,750,2,2.0,106,0,0,1,1,1,0,0,0,Chelsea,Manhattan
5995,1.0,2,1815,4,1.0,96,0,0,0,1,1,0,0,1,Financial District,Manhattan
2400,3.0,1,1100,3,4.0,106,1,0,0,0,0,0,0,0,Bedford-Stuyvesant,Brooklyn
4785,1.0,1,823,5,17.0,44,1,0,0,0,0,0,0,0,Midtown East,Manhattan
4800,2.0,2,1150,12,35.0,27,1,1,0,1,1,1,1,1,Midtown East,Manhattan
3595,1.0,1,620,11,9.0,31,1,0,0,0,0,0,0,0,Upper East Side,Manhattan
4500,2.0,2,1041,10,6.0,27,0,0,0,0,1,1,0,0,Midtown East,Manhattan
5415,1.0,1,767,2,29.0,8,1,0,0,0,0,0,0,0,Midtown South,Manhattan
5500,1.0,1,1145,4,2.0,11,0,0,0,1,1,0,0,1,Soho,Manhattan
3700,2.0,1,850,4,4.0,53,0,0,0,1,0,0,0,0,Upper East Side,Manhattan
1700,1.0,1,400,8,3.0,5,0,0,0,0,0,0,0,0,East Harlem,Manhattan
2000,2.0,1,850,8,5.0,80,0,0,0,0,0,0,0,0,Bay Ridge,Brooklyn
2799,0.0,1,750,3,3.0,96,0,0,0,0,0,0,0,0,Upper East Side,Manhattan
9300,3.0,3,1800,3,12.0,100,0,0,0,0,0,0,1,0,Upper West Side,Manhattan
4990,1.0,1,643,3,32.0,6,1,0,0,0,0,0,0,0,Chelsea,Manhattan
