Rank,Name,Park,Location,Supplier,Year Built,Points,Year of Rank
19,Intimidator,Carowinds,"Charlotte, N.C.",B&M,2010,261,2017
20,Nemesis,Alton Towers,"Staffordshire, England",B&M,1994,254,2017
21,Taron,Phantasialand,"Brühl, Germany",Intamin,2016,253,2017
22,Banshee,Kings Island,"Mason, Ohio",B&M,2014,244,2017
23,Magnum XL-200,Cedar Point,"Sandusky, Ohio",Arrow,1989,238,2017
24,Skyrush,Hersheypark,"Hershey, Pa.",Intamin,2012,235,2017
25,X2,Six Flags Magic Mountain,"Valencia, Calif.",Arrow,2002,217,2017
26,Mind Bender,Six Flags Over Georgia,"Austell, Ga.",Schwarzkopf,1978,209,2017
27,Montu,Busch Gardens Tampa,"Tampa, Fla.",B&M,1996,200,2017
28,Behemoth,Canada’s Wonderland,"Vaughan, Ontario, Canada",B&M,2008,184,2017
29,Cheetah Hunt,Busch Gardens Tampa,"Tampa, Fla.",Intamin,2011,181,2017
29,Helix,Liseberg,"Gothenburg, Sweden",Mack,2014,181,2017
31,Mako,SeaWorld Orlando,"Orlando, Fla.",B&M,2016,171,2017
32,Cannibal,Lagoon,"Farmington, Utah",Lagoon,2015,163,2017
33,Storm Chaser,Kentucky Kingdom,"Louisville, Ky.",RMC,2016,135,2017
34,Raging Bull,Six Flags Great America,"Gurnee, Ill.",B&M,1999,113,2017
35,Black Mamba,Phantasialand,"Brühl, Germany",B&M,2006,109,2017
36,Alpengeist,Busch Gardens Williamsburg,"Williamsburg, Va.",B&M,1997,104,2017
37,Medusa Steel Coaster,Six Flags Mexico,"Mexico City, Mexico",RMC,2014,98,2017
38,Quimera,La Feria,"Mexico City, Mexico",Schwarzkopf,2007,93,2017
39,Thunderbird,Holiday World,"Santa Claus, Ind.",B&M,2015,91,2017
40,Lisebergbanan,Liseberg,"Gothenburg, Sweden",Schwarz,1987,84,2017
41,Goliath,La Ronde,"Montreal, Quebec, Canada",B&M,2006,78,2017
41,Kumba,Busch Gardens Tampa,"Tampa, Fla.",B&M,1993,78,2017
41,Lightning Run,Kentucky Kingdom,"Louisville, Ky.",Chance,2014,78,2017
44,Steel Force,Dorney Park,"Allentown, Pa.",Morgan,1997,76,2017
45,Euro-Mir,Europa-Park,"Rust, Germany",Mack,1997,72,2017
46,Shock Wave,Six Flags Over Texas,"Arlington, Texas",Schwarzkopf,1978,68,2017
46,Whizzer,Six Flags Great America,"Gurnee, Ill.",Schwarzkopf,1976,68,2017
48,Griffon,Busch Gardens Williamsburg,"Williamsburg, Va.",B&M,2007,62,2017
49,Expedition Everest,Disney’s Animal Kingdom,"Orlando, Fla.",Vekoma,2006,61,2017
50,Full Throttle,Six Flags Magic Mountain,"Valencia, Calif.",Premier,2013,59,2017
1,Fury 325,Carowinds,"Charlotte, N.C.",B&M,2015,1222,2018
2,Millennium Force,Cedar Point,"Sandusky, Ohio",Intamin,2000,1156,2018
3,Steel Vengeance,Cedar Point,"Sandusky, Ohio",Rocky Mountain,2018,829,2018
4,Expedition GeForce,Holiday Park,"Hassloch, Germany",Intamin,2001,540,2018
5,Superman: The Ride,Six Flags New England,"Agawam, Mass.",Intamin,2000,535,2018
6,Apollo’s Chariot,Busch Gardens Williamsburg,"Williamsburg, Va.",B&M,1999,522,2018
7,Iron Rattler,Six Flags Fiesta Texas,"San Antonio, Texas",Rocky Mountain,2013,483,2018
8,Leviathan,Canada’s Wonderland,"Vaughan, Ontario, Canada",B&M,2012,410,2018
9,Maverick,Cedar Point,"Sandusky, Ohio",Intamin,2007,390,2018
10,Diamondback,Kings Island,"Mason, Ohio",B&M,2009,347,2018
11,Nitro,Six Flags Great Adventure,"Jackson, N.J.",B&M,2001,345,2018
12,Intimidator 305,Kings Dominion,"Doswell, Va.",Intamin,2010,344,2018
13,Phantom’s Revenge,Kennywood,"West Mifflin, Pa.",Morgan/Arrow,2001,324,2018
14,Magnum XL-200,Cedar Point,"Sandusky, Ohio",Arrow,1989,300,2018
15,Taron,Phantasialand,"Brühl, Germany",Intamin,2016,283,2018
16,Top Thrill Dragster,Cedar Point,"Sandusky, Ohio",Intamin,2003,278,2018
17,Mako,SeaWorld Orlando,"Orlando, Fla.",B&M,2016,251,2018
18,Time Traveler,Silver Dollar City,"Branson, Mo.",Mack,2018,248,2018
19,Blue Fire,Europa-Park,"Rust, Germany",Mack,2009,244,2018
20,Nemesis,Alton Towers,"Staffordshire, England",B&M,1994,238,2018
21,Helix,Liseberg,"Gothenburg, Sweden",Mack,2014,234,2018
22,Intimidator,Carowinds,"Charlotte, N.C.",B&M,2010,233,2018
23,New Texas Giant,Six Flags Over Texas,"Arlington, Texas",Rocky Mountain,2011,222,2018
24,Twisted Colossus,Six Flags Magic Mountain,"Valencia, Calif.",Rocky Mountain,2015,212,2018
25,Mind Bender,Six Flags Over Georgia,"Austell, Ga.",Schwarzkopf,1978,211,2018
26,Goliath,Six Flags Over Georgia,"Austell, Ga.",B&M,2006,201,2018
27,Behemoth,Canada’s Wonderland,"Vaughan, Ontario, Canada",B&M,2008,187,2018
28,Montu,Busch Gardens Tampa,"Tampa, Fla.",B&M,1996,186,2018
29,Banshee,Kings Island,"Mason, Ohio",B&M,2014,175,2018
30,Skyrush,Hersheypark,"Hershey, Pa.",Intamin,2012,173,2018
31,X2,Six Flags Magic Mountain,"Valencia, Calif.",Arrow,2001,162,2018
32,Alpengeist,Busch Gardens Williamsburg,"Williamsburg, Va.",B&M,1997,160,2018
33,Wicked Cyclone,Six Flags New England,"Agawam, Mass.",Rocky Mountain,2015,158,2018
34,Black Mamba,Phantasialand,"Brühl, Germany",B&M,2006,137,2018
35,Cheetah Hunt,Busch Gardens Tampa,"Tampa, Fla.",Intamin,2011,132,2018
36,Verbolten,Busch Gardens Williamsburg,"Williamsburg, Va.",Zierer,2012,116,2018
37,Kumba,Busch Gardens Tampa,"Tampa, Fla.",B&M,1993,115,2018
38,Twisted Timbers,Kings Dominion,"Doswell, Va.",Rocky Mountain,2018,109,2018
39,Jetline,Gröna Lund,"Stockholm, Sweden",Schwarzkopf,1988,99,2018
39,Superman Ride of Steel,Six Flags America,"Upper Marlsboro, Md.",Intamin,2000,99,2018
41,Goliath,La Ronde,"Montreal, Quebec, Canada",B&M,2006,97,2018
42,Lisebergbanan,Liseberg,"Gothemburg, Sweden",Schwarzkopf,1987,96,2018
43,Griffon,Busch Gardens Williamsburg,"Williamsburg, Va.",B&M,2007,93,2018
44,Cannibal,Lagoon,"Farmington, Utah",Lagoon,2015,92,2018
45,Shambhala,PortAventura,"Salou, Spain",B&M,2012,89,2018
46,Expedition Everest,Disney’s Animal Kingdom,"Orlando, Fla.",Vekoma,2006,82,2018
47,Storm Chaser,Kentucky Kingdom,"Louisville, Ky.",Rocky Mountain,2016,81,2018
48,Raging Bull,Six Flags Great America,"Gurnee, Ill.",B&M,1999,78,2018
49,Thunderbird,Holiday World,"Santa Claus, Ind.",B&M,2015,72,2018
50,Whizzer,Six Flags Great America,"Gurnee, Ill.",Schwarzkopf,1976,70,2018
