name,material_type,seating_type,speed,height,length,num_inversions,manufacturer,park,status
Tami Tami,Steel,Sit Down,35.0,9.0,207.0,0.0,Vekoma,Port Aventura,status.operating
Tomahawk,Wooden,Sit Down,48.0,14.0,440.0,0.0,CCI,Port Aventura,status.operating
Nemesis,Steel,Inverted,81.0,13.0,716.0,4.0,B&M,Alton Towers,status.operating
Stampida (Red),Wooden,Sit Down,72.0,26.0,945.0,0.0,CCI,Port Aventura,status.operating
El Diablo,Steel,Sit Down,,17.0,1008.0,0.0,Arrow,Port Aventura,status.operating
Dragon Khan,Steel,Sit Down,105.0,45.0,1270.0,8.0,B&M,Port Aventura,status.operating
La Chenille,Steel,Sit Down,26.0,3.0,,0.0,Pinfari,Nigloland,status.operating
Spatiale Experience,Steel,Sit Down,60.0,18.0,800.0,0.0,Mack,Nigloland,status.operating
Euro Loop,Steel,Sit Down,65.0,30.0,,4.0,Vekoma,Europark,status.operating
Les Montagnes du Grand Canyon,Steel,Sit Down,50.0,12.0,434.0,0.0,Pinfari,OK Corral,status.closed.definitely
Serpent Hopi,Steel,Sit Down,36.0,8.0,360.0,0.0,Zierer,OK Corral,status.operating
Family Coaster,Steel,Sit Down,20.0,6.0,160.0,0.0,Pinfari,Parc Saint Paul,status.closed.definitely
Le Train de la Mine d'Or,Steel,Sit Down,36.0,8.0,,0.0,Mack,Nigloland,status.operating
Spirale des Dunes,Steel,Sit Down,40.0,5.0,200.0,0.0,Soquet,Bagatelle,status.operating
Zigzag,Steel,Sit Down,40.0,13.0,270.0,0.0,Zamperla,Walibi Sud Ouest,status.operating
Mini Mouse Cartoon,Steel,Sit Down,10.0,3.0,90.0,0.0,Zamperla,Parc Saint Paul,status.operating
Train du Colorado,Steel,Sit Down,60.0,12.0,,0.0,Soquet,La Mer de Sable,status.closed.definitely
Gaz Express,Steel,Sit Down,60.0,12.0,400.0,0.0,Soquet,Bagatelle,status.operating
Blue Tornado,Steel,Inverted,80.0,33.0,765.0,5.0,Vekoma,Gardaland,status.operating
Rexplorer,Steel,Sit Down,36.0,4.0,250.0,0.0,Mack,Mirabilandia,status.operating
Family Adventure,Steel,Sit Down,46.0,13.0,335.0,0.0,Vekoma,Mirabilandia,status.closed.definitely
Fuga da Atlantide,Steel,Water Coaster,60.0,17.0,700.0,0.0,Intamin,Gardaland,status.operating
Jamming,Steel,Spinning,40.0,8.0,,0.0,Barbisan,Fiabilandia,status.closed.definitely
Katun,Steel,Inverted,104.0,50.0,1200.0,6.0,B&M,Mirabilandia,status.operating
Shaman,Steel,Sit Down,70.0,30.0,700.0,4.0,Vekoma,Gardaland,status.operating
Miniera d'Oro,Steel,Sit Down,,,,0.0,Pinfari,Fiabilandia,status.operating
Ortobruco Tour,Steel,Sit Down,35.0,6.0,,0.0,Pinfari,Gardaland,status.operating
Gold Digger,Steel,Sit Down,35.0,15.0,360.0,0.0,L&T Systems,Mirabilandia,status.operating
Sierra Tonante,Wooden,Sit Down,100.0,35.0,1000.0,0.0,William J. Cobb,Mirabilandia,status.closed.definitely
Valle degli Gnomi,Steel,Sit Down,,,,0.0,Pinfari,Fiabilandia,status.operating
X Speed,Steel,Sit Down,40.0,6.0,,0.0,Pinfari,Movieland Park,status.closed.definitely
Big Apple,Steel,Sit Down,,,,0.0,Pinfari,Southport Pleasureland,status.closed.definitely
Buffalo Mountain Coaster,Steel,Sit Down,,,,0.0,Zamperla,Drayton Manor,status.operating
Bullet,Steel,Sit Down,81.0,40.0,,1.0,Schwarzkopf,Flamingo Land Theme Park and Zoo,status.closed.definitely
Corkscrew,Steel,Sit Down,64.0,23.0,725.0,2.0,Vekoma,Flamingo Land Theme Park and Zoo,status.closed.definitely
Cyclone,Steel,Sit Down,68.0,18.0,762.0,0.0,Charles Paige,Southport Pleasureland,status.closed.definitely
Dino Roller,Steel,Sit Down,29.0,6.0,150.0,0.0,Cavazza Diego,Flamingo Land Theme Park and Zoo,status.operating
King Solomon's Mines,Steel,Sit Down,,12.0,487.0,0.0,na,Southport Pleasureland,status.closed.definitely
Magnum Force,Steel,Sit Down,86.0,33.0,990.0,3.0,Schwarzkopf,Flamingo Land Theme Park and Zoo,status.closed.definitely
Shockwave,Steel,Stand Up,80.0,36.0,500.0,4.0,Intamin,Drayton Manor,status.operating
Super Dragon Coaster,Steel,Sit Down,25.0,5.0,,0.0,Pinfari,Drayton Manor,status.closed.definitely
Thunder Mountain,Steel,Sit Down,46.0,13.0,335.0,0.0,Pinfari,Flamingo Land Theme Park and Zoo,status.closed.definitely
Traumatizer,Steel,Inverted,80.0,34.0,689.0,5.0,Vekoma,Southport Pleasureland,status.closed.definitely
Wild Mouse,Steel,Sit Down,45.0,15.0,370.0,0.0,Maurer,Flamingo Land Theme Park and Zoo,status.closed.definitely
Wild Cat,Steel,Sit Down,46.0,13.0,335.0,0.0,Pinfari,Southport Pleasureland,status.closed.definitely
Galactica,Steel,Flying,75.0,20.0,840.0,3.0,B&M,Alton Towers,status.operating
Avalanche,Steel,Bobsleigh,50.0,20.0,455.0,0.0,Mack,Blackpool Pleasure Beach,status.operating
Beastie,Steel,Sit Down,25.0,5.0,,0.0,Pinfari,Alton Towers,status.closed.definitely
Big Apple,Steel,Sit Down,,,,0.0,Pinfari,Blackpool Pleasure Beach,status.closed.definitely
Black Hole,Steel,Sit Down,65.0,14.0,585.0,0.0,Schwarzkopf,Alton Towers,status.closed.definitely
Little Dipper,Steel,Sit Down,,3.0,,0.0,Pinfari,Lightwater Valley,status.operating
Corkscrew,Steel,Sit Down,64.0,23.0,732.0,2.0,Vekoma,Alton Towers,status.closed.definitely
Dragon,Steel,Sit Down,,,,0.0,WGH Transportation,Legoland Windsor,status.operating
Dragon's Apprentice,Steel,Sit Down,,,,0.0,WGH Transportation,Legoland Windsor,status.operating
Grizzly Bear,Steel,Sit Down,50.0,12.0,434.0,0.0,Pinfari,Lightwater Valley,status.closed.definitely
Revolution,Steel,Sit Down,72.0,17.0,193.0,1.0,Arrow,Blackpool Pleasure Beach,status.operating
Jungle Coaster,Steel,Sit Down,50.0,18.0,370.0,0.0,Mack,Legoland Windsor,status.closed.definitely
Lady Bird,Steel,Sit Down,32.0,6.0,200.0,0.0,Zierer,Lightwater Valley,status.operating
Circus Clown,Steel,Sit Down,,,,0.0,Pinfari,Blackpool Pleasure Beach,status.closed.definitely
Oblivion,Steel,Sit Down,110.0,20.0,372.0,0.0,B&M,Alton Towers,status.operating
Hyper Space Mountain,Steel,Sit Down,70.0,31.0,1000.0,3.0,Vekoma,Disneyland Park,status.operating
Big One,Steel,Sit Down,120.0,65.0,1675.0,0.0,Arrow,Blackpool Pleasure Beach,status.operating
Raptor Attack,Steel,Sit Down,65.0,15.0,560.0,0.0,Schwarzkopf,Lightwater Valley,status.operating
Rita,Steel,Sit Down,98.0,21.0,647.0,0.0,Intamin,Alton Towers,status.operating
Nickelodeon Streak,Wooden,Sit Down,60.0,19.0,700.0,0.0,Charles Paige,Blackpool Pleasure Beach,status.operating
Runaway Mine Train,Steel,Sit Down,36.0,6.0,305.0,0.0,Mack,Alton Towers,status.operating
Space Invader 2,Steel,Sit Down,45.0,11.0,,0.0,Zierer,Blackpool Pleasure Beach,status.closed.definitely
Spinball Whizzer,Steel,Spinning,60.0,17.0,450.0,0.0,Maurer,Alton Towers,status.operating
Steeplechase (Left),Steel,Sit Down,,,,0.0,Arrow,Blackpool Pleasure Beach,status.operating
Twister,Steel,Sit Down,47.0,13.0,420.0,0.0,Reverchon,Lightwater Valley,status.operating
Ultimate,Steel,Sit Down,80.0,48.0,2268.0,0.0,Big Country Mitioneering,Lightwater Valley,status.operating
Wild Mouse,Wooden,Sit Down,,,390.0,0.0,na,Blackpool Pleasure Beach,status.closed.definitely
Blue Flyer,Steel,Sit Down,,,700.0,0.0,Charles Paige,Blackpool Pleasure Beach,status.operating
Colossus,Steel,Sit Down,72.0,30.0,850.0,10.0,Intamin,Thorpe Park,status.operating
Dragon's Fury,Steel,Spinning,,18.0,540.0,0.0,Maurer,Chessington World of Adventures,status.operating
Fantasy Mouse,Steel,Sit Down,47.0,13.0,420.0,0.0,Reverchon,Fantasy Island Ingoldmells,status.operating
Jellikins Coaster,Steel,Sit Down,,,,0.0,WGH Transportation,Fantasy Island Ingoldmells,status.operating
Jubilee Odyssey,Steel,Inverted,100.0,51.0,891.0,5.0,Vekoma,Fantasy Island Ingoldmells,status.operating
Millennium Roller Coaster,Steel,Sit Down,96.0,46.0,,3.0,Vekoma,Fantasy Island Ingoldmells,status.operating
Nemesis Inferno,Steel,Inverted,77.0,29.0,750.0,4.0,B&M,Thorpe Park,status.operating
Rattlesnake,Steel,Sit Down,45.0,15.0,370.0,0.0,Maurer,Chessington World of Adventures,status.operating
Rhombus's Rocket,Steel,Sit Down,36.0,,,0.0,Mack,Fantasy Island Ingoldmells,status.operating
Scorpion Express,Steel,Sit Down,36.0,6.0,245.0,0.0,Mack,Chessington World of Adventures,status.operating
Strawberry Junior Coaster,Steel,Sit Down,26.0,3.0,,0.0,Pinfari,Fantasy Island Ingoldmells,status.operating
Vampire,Steel,Suspended,74.0,17.0,716.0,0.0,Arrow,Chessington World of Adventures,status.operating
The Walking Dead - The Ride,Steel,Sit Down,45.0,13.0,400.0,0.0,Vekoma,Thorpe Park,status.operating
Kingda Ka,Steel,Sit Down,206.0,139.0,950.0,0.0,Intamin,Six Flags Great Adventure,status.operating
Formule 1,Steel,Sit Down,,15.0,380.0,0.0,Pax,Parc Saint Paul,status.operating
Do-Dodonpa,Steel,Sit Down,172.0,52.0,1189.0,0.0,S&S,Fuji-Q Highland,status.operating
Boomerang,Steel,Sit Down,76.0,36.0,285.0,3.0,Vekoma,Bellewaerde,status.operating
Hades 360,Hybrid,Sit Down,113.0,42.0,1441.0,0.0,Gravity Group,Mt. Olympus Water & Theme Park,status.operating
Top Thrill Dragster,Steel,Sit Down,192.0,128.0,853.0,0.0,Intamin,Cedar Point,status.operating
SheiKra,Steel,Floorless,113.0,61.0,972.0,1.0,B&M,Busch Gardens Tampa,status.operating
Matterhorn Blitz,Steel,Sit Down,56.0,16.0,383.0,0.0,Mack,Europa Park,status.operating
X2,Steel,4th Dimension,122.0,53.0,1100.0,6.0,Arrow,Six Flags Magic Mountain,status.operating
Kanonen,Steel,Sit Down,75.0,24.0,440.0,2.0,Intamin,Liseberg,status.closed.definitely
Backlot Stunt Coaster,Steel,Sit Down,64.0,,,0.0,Premier Rides,Kings Island,status.operating
Hydra the Revenge,Steel,Floorless,85.0,29.0,975.0,7.0,B&M,Dorney Park,status.operating
Flash Back,Steel,Sit Down,56.0,26.0,579.0,0.0,Intamin,Six Flags Magic Mountain,status.closed.definitely
Déjà Vu,Steel,Sit Down,106.0,58.0,367.0,3.0,Vekoma,Six Flags Magic Mountain,status.relocated
Bizarro,Steel,Floorless,98.0,43.0,1214.0,7.0,B&M,Six Flags Great Adventure,status.operating
Atlantica SuperSplash,Steel,Water Coaster,80.0,30.0,390.0,0.0,Mack,Europa Park,status.operating
Nitro,Steel,Sit Down,128.0,70.0,1644.0,0.0,B&M,Six Flags Great Adventure,status.operating
Millennium Force,Steel,Sit Down,150.0,94.0,2010.0,0.0,Intamin,Cedar Point,status.operating
1066: Spirit of the Conqueror,Steel,Sit Down,,18.0,400.0,0.0,Soquet,Festyland,status.operating
PowderKeg,Steel,Sit Down,100.0,30.0,1068.0,0.0,S&S,Silver Dollar City,status.operating
Monstre (Blue),Wooden,Sit Down,96.0,39.0,1218.0,0.0,William J. Cobb,La Ronde,status.operating
Viper,Steel,Sit Down,112.0,57.0,1167.0,7.0,Arrow,Six Flags Magic Mountain,status.operating
Superman : Escape from Krypton,Steel,Sit Down,160.0,126.0,376.0,0.0,Intamin,Six Flags Magic Mountain,status.operating
Riddler's Revenge,Steel,Stand Up,105.0,47.0,1332.0,6.0,B&M,Six Flags Magic Mountain,status.operating
Goliath,Steel,Sit Down,137.0,71.0,1370.0,0.0,Giovanola,Six Flags Magic Mountain,status.operating
Batman the Ride,Steel,Inverted,80.0,32.0,823.0,5.0,B&M,Six Flags Magic Mountain,status.operating
Canyon Blaster,Steel,Sit Down,26.0,4.0,152.0,0.0,Miler Coaster,Six Flags Magic Mountain,status.operating
Gold Rusher,Steel,Sit Down,56.0,21.0,790.0,0.0,Arrow,Six Flags Magic Mountain,status.operating
Magic Flyer,Steel,Sit Down,16.0,6.0,105.0,0.0,Bradley & Kaye,Six Flags Magic Mountain,status.operating
Xcelerator,Steel,Sit Down,132.0,62.0,671.0,0.0,Intamin,Knott's Berry Farm,status.operating
Incredible Hulk,Steel,Sit Down,107.0,33.0,1127.0,7.0,B&M,Universal Studios Islands of Adventure,status.operating
Goliath,Steel,Sit Down,106.0,47.0,1214.0,0.0,Intamin,Walibi Holland,status.operating
Son of Beast,Wooden,Sit Down,126.0,66.0,2144.0,0.0,Premier Rides,Kings Island,status.closed.definitely
Drakkar Express,Steel,Sit Down,,,,0.0,Soquet,Festyland,status.operating
Beast,Wooden,Sit Down,104.0,34.0,2243.0,0.0,Charlie Dinn,Kings Island,status.operating
Xpress : Platform 13,Steel,Sit Down,90.0,26.0,996.0,3.0,Vekoma,Walibi Holland,status.operating
Super Wirbel,Steel,Sit Down,64.0,23.0,732.0,2.0,Vekoma,Holiday Park,status.closed.definitely
Iron Wolf,Steel,Stand Up,89.0,31.0,884.0,2.0,B&M,Six Flags Great America,status.closed.definitely
Demon,Steel,Sit Down,81.0,31.0,649.0,4.0,Arrow,Six Flags Great America,status.operating
American Eagle,Wooden,Sit Down,106.0,38.0,1417.0,0.0,Intamin,Six Flags Great America,status.operating
TGV des Etoiles,Steel,Sit Down,,,,0.0,Soquet,Touroparc,status.closed.definitely
Colossos,Wooden,Sit Down,110.0,51.0,1500.0,0.0,Intamin,Heide Park,status.operating
Gravity Max,Steel,Sit Down,90.0,35.0,568.0,1.0,Vekoma,Lihpao Land,status.operating
Storm Runner,Steel,Sit Down,120.0,56.0,806.0,3.0,Intamin,Hersheypark,status.operating
G Force,Steel,Sit Down,70.0,25.0,385.0,3.0,Maurer,Drayton Manor,status.closed.temporarily
Dragon Challenge : Chinese Fireball,Steel,Inverted,97.0,38.0,975.0,5.0,B&M,Universal Studios Islands of Adventure,status.closed.definitely
Balder,Wooden,Sit Down,90.0,36.0,1070.0,0.0,Intamin,Liseberg,status.operating
Great American Scream Machine,Steel,Sit Down,109.0,53.0,1158.0,7.0,Arrow,Six Flags Great Adventure,status.closed.definitely
King,Steel,Sit Down,90.0,28.0,720.0,0.0,Soquet,Foire,status.operating
Crazy Mouse,Steel,Sit Down,50.0,13.0,420.0,0.0,Reverchon,Foire,status.operating
Fireball,Steel,Sit Down,,,,1.0,"Larson International, Inc",Foire,status.operating
Olympia looping,Steel,Sit Down,80.0,38.0,1250.0,5.0,Schwarzkopf,Foire,status.operating
Looping,Steel,Sit Down,,,,1.0,Soquet,Foire,status.unknown
Kamikaze,Steel,Sit Down,,,,3.0,Schwarzkopf,Foire,status.operating
Free Fall,Steel,Sit Down,100.0,27.0,50.0,0.0,Preston & Barbieri,Foire,status.operating
Le Train de la Mine,Steel,Sit Down,36.0,7.0,,0.0,Soquet,Cigoland,status.operating
Blue Streak,Wooden,Sit Down,64.0,24.0,780.0,0.0,Philadelphia Toboggan Coaster,Cedar Point,status.operating
Tsunami,Steel,Inverted,,20.0,350.0,3.0,Pinfari,Foire,status.operating
Big Dipper,Steel,Sit Down,,,,0.0,National Amusement Devices,Camden Park,status.operating
Tokaido Express 2,Steel,Sit Down,40.0,6.0,180.0,0.0,Mack,Foire,status.operating
Pomme (la),Steel,Sit Down,,3.0,,0.0,Pinfari,Foire,status.operating
Eurostar,Steel,Inverted,80.0,30.0,800.0,4.0,Intamin,Foire,status.relocated
Cyberspace,Steel,Spinning,,,,0.0,Maurer,Foire,status.closed.definitely
Jumbo Jet,Steel,Sit Down,63.0,17.0,791.0,0.0,Schwarzkopf,Amigoland,status.operating
Infernal Toboggan,Steel,Sit Down,,11.0,335.0,0.0,S.D.C.,Foire,status.operating
Super Railway,Steel,Sit Down,,,,0.0,Schwarzkopf,Foire,status.operating
Revenge of the Mummy,Steel,Sit Down,65.0,14.0,670.0,0.0,Premier Rides,Universal Studios Florida,status.operating
Raging Spirits,Steel,Sit Down,60.0,16.0,600.0,1.0,Intamin,Tokyo DisneySea,status.operating
Les Souris Mécaniques,Steel,Spinning,,6.0,,0.0,Reverchon,Jardin d'Acclimatation,status.operating
Batwing,Steel,Flying,81.0,35.0,1018.0,5.0,Vekoma,Six Flags America,status.operating
Hoosier Hurricane,Wooden,Sit Down,82.0,24.0,881.0,0.0,CCI,Indiana Beach,status.operating
Desperado,Steel,Sit Down,129.0,64.0,1781.0,0.0,Arrow,Buffalo Bill's Resort & Casino,status.operating
Speed the ride,Steel,Sit Down,112.0,68.0,416.0,1.0,Premier Rides,Nascar Café,status.closed.definitely
Big Apple Coaster,Steel,Sit Down,108.0,62.0,1456.0,2.0,Togo,"New York, New York Hotel & Casino",status.operating
Alpenexpress,Steel,Sit Down,45.0,6.0,264.0,0.0,Mack,Europa Park,status.operating
Achterbahn,Steel,Sit Down,50.0,15.0,560.0,0.0,Schwarzkopf,Skyline Park,status.operating
Rockin' Roller ,Steel,Sit Down,16.0,6.0,105.0,0.0,Bradley & Kaye,Six Flags St Louis,status.closed.definitely
Adventure Express,Steel,Sit Down,56.0,19.0,903.0,0.0,Arrow,Kings Island,status.operating
Alpengeist,Steel,Inverted,108.0,60.0,,6.0,B&M,Busch Gardens Williamsburg,status.operating
Zach's Zoomer,Wooden,Sit Down,,14.0,460.0,0.0,CCI,Michigan's Adventure,status.operating
Alpine Bobsled,Steel,Bobsleigh,60.0,20.0,452.0,0.0,Intamin,Great Escape,status.operating
Racer (Left),Wooden,Sit Down,98.0,27.0,1040.0,0.0,Philadelphia Toboggan Coaster,Kings Island,status.operating
X-Treme Racer,Steel,Sit Down,56.0,16.0,400.0,0.0,Mack,Legoland Billund,status.operating
Ultra Twister,Steel,Pipeline,71.0,29.0,426.0,3.0,Togo,Six Flags AstroWorld,status.closed.definitely
Underground,Steel,Sit Down,,,300.0,0.0,CCI,Adventureland,status.operating
Atlantis Adventure,Steel,Water Coaster,75.0,22.0,670.0,0.0,Intamin,Lotte World,status.operating
Kumba,Steel,Sit Down,96.0,43.0,1210.0,7.0,B&M,Busch Gardens Tampa,status.operating
Rougarou,Steel,Floorless,97.0,44.0,1188.0,4.0,B&M,Cedar Point,status.operating
Montu,Steel,Inverted,96.0,46.0,1214.0,7.0,B&M,Busch Gardens Tampa,status.operating
Chang,Steel,Stand Up,102.0,47.0,1267.0,5.0,B&M,Kentucky Kingdom,status.closed.definitely
Vuoristorata,Wooden,Sit Down,60.0,23.0,960.0,0.0,na,Linnanmäki,status.operating
Raging Bull,Steel,Sit Down,118.0,62.0,1542.0,0.0,B&M,Six Flags Great America,status.operating
Kraken,Steel,Floorless,105.0,46.0,1273.0,7.0,B&M,SeaWorld Orlando,status.operating
Cobra,Steel,Stand Up,77.0,26.0,785.0,1.0,Intamin,La Ronde,status.closed.definitely
Vampire,Steel,Inverted,81.0,32.0,823.0,5.0,B&M,La Ronde,status.operating
Incredicoaster,Steel,Sit Down,88.0,33.0,1850.0,1.0,Intamin,Disney California Adventure,status.operating
Apollo's Chariot,Steel,Sit Down,118.0,52.0,1488.0,0.0,B&M,Busch Gardens Williamsburg,status.operating
Raptor,Steel,Inverted,92.0,42.0,1155.0,6.0,B&M,Cedar Point,status.operating
Ninja,Steel,Suspended,88.0,18.0,825.0,0.0,Arrow,Six Flags Magic Mountain,status.operating
Titan,Steel,Sit Down,137.0,75.0,1619.0,0.0,Giovanola,Six flags Over Texas,status.operating
Magnum XL 200,Steel,Sit Down,116.0,63.0,1556.0,0.0,Arrow,Cedar Point,status.operating
El Condor,Steel,Inverted,80.0,31.0,662.0,5.0,Vekoma,Walibi Holland,status.operating
Hypersonic XLC,Steel,Sit Down,128.0,50.0,475.0,0.0,S&S,Kings Dominion,status.closed.definitely
Thunder dolphin,Steel,Sit Down,130.0,80.0,1070.0,0.0,Intamin,Tokyo Dome City,status.operating
Tatsu,Steel,Flying,100.0,52.0,1097.0,4.0,B&M,Six Flags Magic Mountain,status.operating
Rock'n Roller Coaster starring  Aerosmith,Steel,Sit Down,96.0,24.0,1027.0,3.0,Vekoma,Disney Hollywood Studios,status.operating
Sequoia Magic Loop,Steel,Sit Down,,30.0,,0.0,S&S,Gardaland,status.closed.temporarily
Robin Hood,Wooden,Sit Down,80.0,32.0,1000.0,0.0,Vekoma,Walibi Holland,status.retracked
Tower of Terror II,Steel,Sit Down,160.0,115.0,372.0,0.0,Intamin,Dreamworld,status.operating
Cobra,Steel,Sit Down,,47.0,150.0,1.0,Pax,Admiral Vrungel,status.operating
Expedition Everest,Steel,Sit Down,80.0,34.0,1341.0,0.0,Vekoma,Disney's Animal Kingdom,status.operating
"Volcano, the Blast Coaster",Steel,Inverted,112.0,47.0,840.0,4.0,Intamin,Kings Dominion,status.closed.definitely
Cool & Fresh,Steel,Sit Down,,,,1.0,SBF,Foire,status.operating
G'sengte Sau,Steel,Sit Down,50.0,16.0,480.0,0.0,Gerstlauer,Tripsdrill,status.operating
Coaster Express,Wooden,Sit Down,90.0,36.0,1394.0,0.0,RCCA,Parque Warner Madrid,status.operating
Achterbahn,Steel,Sit Down,,,,0.0,Zierer,Bayern Park,status.operating
Famous jack,Steel,Spinning,47.0,13.0,420.0,0.0,Reverchon,Bagatelle,status.operating
Mount Mara,Steel,Sit Down,50.0,26.0,720.0,0.0,Vekoma,Bobbejaanland,status.operating
Stealth,Steel,Sit Down,135.0,63.0,400.0,0.0,Intamin,Thorpe Park,status.operating
Kumali,Steel,Inverted,88.0,38.0,671.0,4.0,Vekoma,Flamingo Land Theme Park and Zoo,status.operating
Le Cinquième Elément,Steel,Sit Down,,,125.0,0.0,Diamond Rides,Foire,status.operating
Déval' Train,Steel,Sit Down,35.0,9.0,207.0,0.0,Vekoma,Parc des Combes,status.operating
