Rank,Name,Park,Location,Supplier,Year Built,Points,Year of Rank
34,White Lightning,Fun Spot America,"Orlando, Fla.",Great Coasters Int.,2013,128,2016
35,Megafobia,Oakwood Leisure Park,"Pembrokeshire, Wales",Custom Coasters,1996,122,2016
36,Hades 360,Mt. Olympus Theme Park,"Wisconsin Dells, Wis.",Gravity Group,1995,118,2016
37,Rampage,Alabama Splash Adventure,"Bessemer, Ala.",Custom Coasters,1998,117,2016
38,Blue Streak,Conneaut Lake Park,"Conneaut Lake, Pa.",Vettel,1938,116,2016
39,Screamin’ Eagle,Six Flags St. Louis,"Eureka, Mo.",PTC/Allen,1976,116,2016
40,Tremors,Silverwood,"Athol, Idaho",Custom Coasters,1999,115,2016
41,Flying Turns,Knoebels Amusement Resort,"Elysburg, Pa.",Knoebels,2013,110,2016
42,Blue Streak,Cedar Point,"Sandusky, Ohio",PTC/Hoover,1964,103,2016
43,Racer,Kennywood,"West Mifflin, Pa.",PTC/Miller,1927,94,2016
44,T Express,Everland,"Yongin-si, South Korea",Intamin,2008,84,2016
45,Twister,Gröna Lund,"Stockholm, Sweden",Gravity Group,2011,84,2016
46,Wooden Warrior,Quassy Amusement Park,"Middlebury, Conn.",Gravity Group,2011,81,2016
47,Twister,Knoebels Amusement Resort,"Elysburg, Pa.",Fetterman/Knoebels,1999,78,2016
48,Kentucky Rumbler,Beech Bend,"Bowling Green, Ky.",Great Coasters Int.,2006,77,2016
49,Wood Coaster,Knight Valley,"Shenzhen, China",Great Coasters Int.,2011,76,2016
50,Boardwalk Bullet,Kemah Boardwalk,"Kemah, Texas",M&V/The Gravity Group,2007,73,2016
1,El Toro,Six Flags Great Adventure,"Jackson, N.J.",Intamin,2009,1241,2017
2,Phoenix,Knoebels Amusement Resort,"Elysburg, Pa.",Dinn-PTC/Schmeck,1985,1212,2017
3,Boulder Dash,Lake Compounce,"Bristol, Conn.",Custom Coasters,2000,1171,2017
4,Voyage,Holiday World,"Santa Claus, Ind.",Gravity Group,2006,1113,2017
5,Lightning Rod,Dollywood,"Pigeon Forge, Tenn.",Rocky Mountain,2016,710,2017
6,Beast,Kings Island,"Mason, Ohio",KECO,1979,666,2017
7,Ravine Flyer II,Waldameer,"Erie, Pa.",Gravity Group,2008,612,2017
8,Thunderhead,Dollywood,"Pigeon Forge, Tenn.",Great Coasters Int.,2004,560,2017
9,Outlaw Run,Silver Dollar City,"Branson, Mo.",Rocky Mountain,2013,541,2017
10,Gold Striker,California’s Great America,"Santa Clara, Calif.",Great Coasters Int.,2013,489,2017
11,Mystic Timbers,Kings Island,"Mason, Ohio",Great Coasters Int.,2017,345,2017
12,Lightning Racer,Hersheypark,"Hershey, Pa.",Great Coasters Int.,2000,276,2017
13,Goliath,Six Flags Great America,"Gurnee, Ill.",Rocky Mountain,2014,269,2017
14,Boardwalk Bullet,Kemah Boardwalk,Kemah Boardwalk,M&V/Gravity Group,2007,236,2017
15,Wodan,Europa-Park,"Rust, Germany",Great Coasters Int.,2012,223,2017
16,Balder,Liseberg,"Gothenburg, Sweden",Intamin,2003,221,2017
17,Thunderbolt,Kennywood,"West Mifflin, Pa.",Vettel/Miller,1968,220,2017
18,GhostRider,Knott’s Berry Farm,"Buena Vista, Calif.",Custom Coasters,1998,219,2017
18,Troy,Toverland,"Sevenum, Netherlands",Great Coasters Int.,2007,219,2017
18,White Lightning,Fun Spot America,"Orlando, Fla.",Great Coasters Int.,2013,219,2017
21,Rampage,Alabama Splash Adventure,"Bessemer, Ala.",Custom Coasters,1998,218,2017
22,Cyclone,Luna Park,"Brooklyn, N.Y.",Keenan/Baker,1927,217,2017
23,Raven,Holiday World,"Santa Claus, Ind.",Custom Coasters,1995,214,2017
24,Legend,Holiday World,"Santa Claus, Ind.",Custom Coasters,2000,198,2017
25,Shivering Timbers,Michigan’s Adventure,"Muskegon, Mich.",Custom Coasters,1998,197,2017
26,Jack Rabbit,Kennywood,"West Mifflin, Pa.",PTC/Miller,1920,188,2017
27,Prowler,Worlds of Fun,"Kansas City, Mo.",Great Coasters Int.,2009,186,2017
28,Boss,Six Flags St. Louis,"Eureka, Mo.",Custom Coasters,2000,183,2017
29,Wildfire,Kolmården,"Norrköping, Sweden",Rocky Mountain,2016,177,2017
30,Cú Chulainn,Tayto Park,"Ashbourne, Ireland",Gravity Group,2015,168,2017
31,Giant Dipper,Santa Cruz Beach Boardwalk,"Santa Cruz, Calif.",Prior & Church/Looff,1924,167,2017
32,Comet,The Great Escape,"Lake George, N.Y.",PTC/Schmeck,1994,157,2017
33,Switchback,ZDT’s,"Seguin, Texas",Gravity Group,2015,139,2017
34,Colossos,Heide Park,"Soltau, Germany",Intamin,2001,129,2017
35,Twister,Knoebels Amusement Resort,"Elysburg, Pa.",Fetterman/Knoebels,1999,119,2017
36,Wild Mouse,Blackpool Pleasure Beach,"Blackpool, England","Wright, Blackpool",1958,112,2017
37,Blue Streak,Conneaut Lake,"Conneaut Lake, Pa.",Vettel,1964,109,2017
38,Hades 360,Mt. Olympus Theme Park,"Wisconsin Dells, Wis.",Gravity Group,1995,107,2017
39,Playland Wooden Coaster,Playland,"Vancouver, B.C., Canada",Phare,1958,98,2017
40,American Thunder,Six Flags St. Louis,"Eureka, Mo.",Great Coasters Int.,2009,96,2017
41,El Toro,Freitzeitpark Plohn,"Legendfeld, Germany",Great Coasters Int.,2006,92,2017
42,Blue Streak,Cedar Point,"Sandusky, Ohio",PTC/Hoover,1964,87,2017
43,Screamin’ Eagle,Six Flags St. Louis,"Eureka, Mo.",PTC/Allen,1976,86,2017
44,Flying Turns,Knoebels Amusement Resort,"Elysburg, Pa.",Knoebels,2013,84,2017
45,Wooden Warrior,Quassy Amusement Park,"Middlebury, Conn.",Gravity Group,2011,82,2017
46,Grizzly (KD),Kings Dominion,"Doswell, Va.",,1982,81,2017
47,Tremors,Silverwood,"Athol, Idaho",Custom Coasters,1999,80,2017
48,Grand National,Blackpool Pleasure Beach,"Blackpool, England",Paige,1935,75,2017
49,Kentucky Rumbler,Beech Bend,"Bowling Green, Ky.",Great Coasters Int.,2006,71,2017
50,Twister,Gröna Lund,"Stockholm, Sweden",Gravity Group,2011,66,2017
1,Phoenix,Knoebels Amusement Resort,"Elysburg, Pa.",PTC/Schmeck-Dinn,1985,1330,2018
2,El Toro,Six Flags Great Adventure,"Jackson, N.J.",Intamin,2006,1197,2018
3,Voyage,Holiday World,"Santa Claus, Ind.",Gravity Group,2006,1086,2018
4,Boulder Dash,Lake Compounce,"Bristol, Conn.",Custom Coasters,2000,982,2018
5,Beast,Kings Island,"Mason, Ohio",KECO,1979,781,2018
6,Lightning Rod,Dollywood,"Pigeon Forge, Tenn.",Rocky Mountain,2016,691,2018
7,Outlaw Run,Silver Dollar City,"Branson, Mo.",Rocky Mountain,2013,573,2018
8,Ravine Flyer II,Waldameer,"Erie, Pa.",Gravity Group,2008,560,2018
9,Gold Striker,Califoria’s Great America,"Santa Clara, Calif.",Great Coasters Int.,2013,497,2018
10,Thunderhead,Dollywood,"Pigeon Forge, Tenn.",Great Coasters Int.,2004,477,2018
11,Mystic Timbers,Kings Island,"Mason, Ohio",Great Coasters Int.,2017,465,2018
12,Lightning Racer,Hersheypark,"Hershey, Pa.",Great Coasters Int.,2000,329,2018
13,GhostRider,Knott’s Berry Farm,"Buena Park, Calif.",Custom Coasters,1998,307,2018
14,Balder,Liseberg,"Gothenburg, Sweden",Intamin,2003,289,2018
15,Thunderbolt,Kennywood,"West Mifflin, Pa.",Vettel/Miller,1968,260,2018
16,Wodan,Europa-Park,"Rust, Germany",Great Coasters Int.,2012,236,2018
17,Wildfire,Kolmården,"Norrköping, Sweden",Rocky Mountain,2016,232,2018
18,Raven,Holiday World,"Santa Claus, Ind.",Custom Coasters,1995,229,2018
19,Goliath,Six Flags Great America,"Gurnee, Ill.",Rocky Mountain,2014,215,2018
20,Jack Rabbit,Kennywood,"West Mifflin, Pa.",Miller,1920,211,2018
21,Giant Dipper,Santa Cruz Beach Boardwalk,"Santa Cruz, Calif.",Prior & Church/Looff,1924,206,2018
21,Shivering Timbers,Michigan’s Adventure,"Muskegon, Mich.",Custom Coasters,1998,206,2018
23,Legend,Holiday World,"Santa Claus, Ind.",Custom Coasters,2000,201,2018
24,White Lightning,Fun Spot,"Orlando, Fla.",Great Coasters Int.,2013,196,2018
25,Troy,Toverland,"Sevenum, Netherlands",Great Coasters Int.,2007,183,2018
26,Renegade,Valleyfair,"Shakopee, Minn.",Great Coasters Int.,2007,182,2018
27,Cú Chulainn,Tayto Park,"Ashbourne, Ireland",Gravity Group,2015,177,2018
28,Colossos,Heide Park,"Soltau, Germany",Intamin,2001,171,2018
29,Cyclone,Luna Park/Coney Island,"Brooklyn, N.Y.",Keenan/Baker,1927,169,2018
30,Prowler,Worlds of Fun,"Kansas City, Mo.",Great Coasters Int.,2009,165,2018
30,Rampage,Alabama Splash Adventure,"Bessemer, Ala.",Custom Coasters,1998,165,2018
32,Comet,The Great Escape,"Lake George, N.Y.",PTC/Schmeck,1994,164,2018
33,Boardwalk Bullet,Kemah Boardwalk,"Kemah, Texas",M&V/Gravity Group,2007,157,2018
34,Flying Turns,Knoebels Amusement Resort,"Elysburg, Pa.",Knoebels,2013,148,2018
35,Rutschebanan,Tivoli Gardens,"Copenhagen, Denmark",L.A. Thompson,1914,135,2018
36,Switchback,ZDTs,"Seguin, Texas",Gravity Group,2015,130,2018
37,Blue Streak,Conneaut Lake Park,"Conneaut Lake, Pa.",Vettel/NAD,1938,118,2018
38,American Thunder,Six Flags St. Louis,"Eureka, Mo.",Great Coasters Int.,2008,117,2018
38,Screamin’ Eagle,Six Flags St. Louis,"Eureka, Mo.",Allen/PTC,1976,117,2018
40,Grizzly,Kings Dominion,"Doswell, Va.",Summers-KECO,1982,115,2018
41,Blue Streak,Cedar Point,"Sandusky, Ohio",PTC/Hoover,1964,109,2018
42,Playland Wooden Coaster,PNE Playland,"Vancouver, B.C., Canada",Phare,1959,107,2018
43,Boss,Six Flags St. Louis,"Eureka, Mo.",Custom Coasters,2000,106,2018
44,Wild One,Six Flags America,"Upper Marlboro, Md.",PTC/Miller/Dinn,1986,98,2018
45,T Express,Everland,"Yonjin-si, South Korea",Intamin,2008,87,2018
46,Megafobia,Oakwood,"Pembrookshire, Wales",Custom Coasters,1996,84,2018
47,Hades 360,Mount Olympus,"Wisconsin Dells, Wis.",Gravity Group,2005,80,2018
48,Mine Blower,Fun Spot,"Kissimmee, Fla.",Gravity Group,2017,79,2018
49,Wooden Warrior,Quassy Amusement Park,"Meddlebury, Conn.",Gravity Group,2011,77,2018
50,Twister,Knoebels Amusement Resort,"Elysburg, Pa.",Fetterman/Knoebels,1999,75,2018
